"fch_cerrado","region","oficina","familias"
"201308","CAGUAS              ","CIDRA               ","63.0"
"201401","MAYAGÜEZ            ","AÑASCO              ","40.0"
"201409","CAGUAS              ","CIDRA               ","42.0"
"201303","HUMACAO             ","FAJARDO             ","53.0"
"201309","HUMACAO             ","MAUNABO             ","30.0"
"201309","CAROLINA            ","LOIZA               ","30.0"
"201306","CAROLINA            ","TRUJILLO ALTO       ","46.0"
"201409","CAROLINA            ","CAROLINA 2          ","43.0"
"201403","SAN JUAN            ","RIO PIEDRAS 2       ","51.0"
"201301","ARECIBO             ","HATILLO             ","21.0"
"201409","PONCE               ","YAUCO               ","56.0"
"201305","GUAYAMA             ","GUAYAMA             ","58.0"
"201306","BAYAMON             ","TOA BAJA 1          ","46.0"
"201405","GUAYAMA             ","CAYEY               ","45.0"
"201408","CAROLINA            ","LUQUILLO            ","38.0"
"201402","AGUADILLA           ","RINCÓN              ","19.0"
"201404","PONCE               ","PONCE 1             ","48.0"
"201408","GUAYAMA             ","SANTA ISABEL        ","49.0"
"201405","CAROLINA            ","RIO GRANDE 1        ","60.0"
"201303","CAROLINA            ","CAROLINA 2          ","49.0"
"201309","PONCE               ","ADJUNTAS            ","33.0"
"201302","PONCE               ","JUANA DIAZ          ","81.0"
"201311","ARECIBO             ","BARCELONETA         ","31.0"
"201305","HUMACAO             ","NAGUABO             ","38.0"
"201210","BAYAMON             ","NARANJITO           ","30.0"
"201405","PONCE               ","JAYUYA              ","20.0"
"201409","CAROLINA            ","CAROLINA 1          ","37.0"
"201312","DESCONOCIDA         ","DESCONOCIDA         ","19.0"
"201408","CAROLINA            ","CANOVANAS           ","52.0"
"201309","MAYAGÜEZ            ","GUANICA             ","38.0"
"201406","HUMACAO             ","JUNCOS              ","62.0"
"201403","MAYAGÜEZ            ","MARICAO             ","6.0"
"201212","ARECIBO             ","ARECIBO 3           ","26.0"
"201303","ARECIBO             ","QUEBRADILLAS        ","46.0"
"201302","BAYAMON             ","NARANJITO           ","39.0"
"201303","AGUADILLA           ","ISABELA             ","48.0"
"201407","GUAYAMA             ","SALINAS             ","62.0"
"201403","ARECIBO             ","ARECIBO 1           ","72.0"
"201305","HUMACAO             ","CEIBA               ","15.0"
"201312","PONCE               ","PONCE 2             ","41.0"
"201212","BAYAMON             ","TOA ALTA            ","31.0"
"201210","AGUADILLA           ","MOCA                ","81.0"
"201407","CAGUAS              ","SAN LORENZO         ","61.0"
"201307","AGUADILLA           ","MOCA                ","64.0"
"201406","CAROLINA            ","TRUJILLO ALTO       ","50.0"
"201311","BAYAMON             ","BAYAMON 3           ","76.0"
"201310","PONCE               ","PEÑUELAS            ","46.0"
"201301","GUAYAMA             ","ARROYO              ","32.0"
"201307","BAYAMON             ","CATAÑO              ","30.0"
"201309","SAN JUAN            ","RIO PIEDRAS 3       ","56.0"
"201305","HUMACAO             ","LAS PIEDRAS         ","42.0"
"201406","CAGUAS              ","BARRANQUITAS        ","28.0"
"201305","ARECIBO             ","BARCELONETA         ","24.0"
"201407","PONCE               ","JAYUYA              ","39.0"
"201211","MAYAGÜEZ            ","AÑASCO              ","48.0"
"201310","ARECIBO             ","CAMUY               ","75.0"
"201405","HUMACAO             ","CEIBA               ","12.0"
"201210","PONCE               ","AIBONITO            ","36.0"
"201309","BAYAMON             ","COROZAL             ","57.0"
"201301","PONCE               ","PONCE 1             ","40.0"
"201403","ARECIBO             ","HATILLO             ","42.0"
"201310","GUAYAMA             ","CAYEY               ","66.0"
"201405","ARECIBO             ","LARES               ","55.0"
"201409","SAN JUAN            ","RIO PIEDRAS 1       ","29.0"
"201310","ARECIBO             ","MANATI              ","66.0"
"201408","AGUADILLA           ","AGUADA              ","59.0"
"201303","PONCE               ","AIBONITO            ","32.0"
"201406","ARECIBO             ","QUEBRADILLAS        ","55.0"
"201211","AGUADILLA           ","AGUADA              ","46.0"
"201307","MAYAGÜEZ            ","SAN GERMAN          ","54.0"
"201303","PONCE               ","ADJUNTAS            ","29.0"
"201303","CAGUAS              ","COMERIO             ","26.0"
"201301","CAROLINA            ","LUQUILLO            ","7.0"
"201406","BAYAMON             ","COROZAL             ","42.0"
"201405","PONCE               ","ADJUNTAS            ","31.0"
"201406","ARECIBO             ","UTUADO 2            ","20.0"
"201407","PONCE               ","GUAYANILLA          ","27.0"
"201309","ARECIBO             ","UTUADO 1            ","37.0"
"201401","PONCE               ","PONCE 1             ","56.0"
"201405","MAYAGÜEZ            ","MAYAGÜEZ            ","57.0"
"201311","BAYAMON             ","COROZAL             ","66.0"
"201310","GUAYAMA             ","PATILLAS            ","39.0"
"201401","GUAYAMA             ","ARROYO              ","37.0"
"201402","PONCE               ","JAYUYA              ","31.0"
"201310","ARECIBO             ","MOROVIS             ","42.0"
"201401","ARECIBO             ","HATILLO             ","41.0"
"201407","MAYAGÜEZ            ","MARICAO             ","15.0"
"201308","BAYAMON             ","VEGA BAJA 2         ","25.0"
"201310","SAN JUAN            ","SAN JUAN            ","64.0"
"201212","HUMACAO             ","NAGUABO             ","30.0"
"201309","PONCE               ","AIBONITO            ","36.0"
"201210","BAYAMON             ","VEGA BAJA 2         ","30.0"
"201406","SAN JUAN            ","CUPEY               ","10.0"
"201406","ARECIBO             ","LARES               ","58.0"
"201308","PONCE               ","OROCOVIS            ","47.0"
"201405","GUAYAMA             ","SALINAS             ","64.0"
"201304","ARECIBO             ","BARCELONETA         ","26.0"
"201307","HUMACAO             ","FAJARDO             ","47.0"
"201305","MAYAGÜEZ            ","GUANICA             ","38.0"
"201406","AGUADILLA           ","RINCÓN              ","29.0"
"201407","ARECIBO             ","LARES               ","59.0"
"201212","PONCE               ","JAYUYA              ","27.0"
"201211","ARECIBO             ","QUEBRADILLAS        ","37.0"
"201304","AGUADILLA           ","ISABELA             ","61.0"
"201305","CAROLINA            ","CANOVANAS           ","51.0"
"201407","HUMACAO             ","NAGUABO             ","30.0"
"201308","MAYAGÜEZ            ","GUANICA             ","30.0"
"201301","ARECIBO             ","MOROVIS             ","32.0"
"201212","HUMACAO             ","LAS PIEDRAS         ","35.0"
"201301","SAN JUAN            ","SAN JUAN            ","29.0"
"201301","PONCE               ","JAYUYA              ","15.0"
"201301","MAYAGÜEZ            ","GUANICA             ","27.0"
"201212","SAN JUAN            ","GUAYNABO 1          ","26.0"
"201307","SAN JUAN            ","CUPEY               ","6.0"
"201406","CAROLINA            ","CAROLINA 1          ","39.0"
"201304","SAN JUAN            ","SAN JUAN            ","41.0"
"201402","PONCE               ","PONCE 1             ","57.0"
"201212","PONCE               ","ADJUNTAS            ","25.0"
"201210","PONCE               ","PONCE 2             ","74.0"
"201402","PONCE               ","AIBONITO            ","28.0"
"201301","PONCE               ","JUANA DIAZ          ","59.0"
"201402","MAYAGÜEZ            ","MARICAO             ","15.0"
"201402","ARECIBO             ","CIALES              ","34.0"
"201303","ARECIBO             ","FLORIDA             ","25.0"
"201404","BAYAMON             ","BAYAMON 2           ","62.0"
"201401","SAN JUAN            ","RIO PIEDRAS 3       ","34.0"
"201303","GUAYAMA             ","PATILLAS            ","40.0"
"201304","MAYAGÜEZ            ","CABO ROJO           ","56.0"
"201409","BAYAMON             ","TOA BAJA 1          ","36.0"
"201301","BAYAMON             ","TOA BAJA 2          ","26.0"
"201210","CAROLINA            ","LOIZA               ","20.0"
"201405","GUAYAMA             ","ARROYO              ","43.0"
"201312","SAN JUAN            ","GUAYNABO 2          ","7.0"
"201301","AGUADILLA           ","AGUADA              ","44.0"
"201307","MAYAGÜEZ            ","GUANICA             ","30.0"
"201308","HUMACAO             ","NAGUABO             ","24.0"
"201408","AGUADILLA           ","MOCA                ","63.0"
"201307","ARECIBO             ","HATILLO             ","42.0"
"201311","CAROLINA            ","CAROLINA 2          ","43.0"
"201404","PONCE               ","ADJUNTAS            ","46.0"
"201408","PONCE               ","PONCE 3             ","115.0"
"201212","HUMACAO             ","YABUCOA             ","53.0"
"201409","AGUADILLA           ","AGUADILLA 1         ","28.0"
"201409","CAGUAS              ","CAGUAS              ","103.0"
"201301","PONCE               ","OROCOVIS            ","34.0"
"201405","PONCE               ","OROCOVIS            ","31.0"
"201409","MAYAGÜEZ            ","GUANICA             ","30.0"
"201404","BAYAMON             ","CATAÑO              ","22.0"
"201311","CAGUAS              ","CAGUAS              ","136.0"
"201211","BAYAMON             ","TOA ALTA            ","55.0"
"201404","HUMACAO             ","YABUCOA             ","59.0"
"201401","SAN JUAN            ","RIO PIEDRAS 2       ","47.0"
"201303","ARECIBO             ","BARCELONETA         ","36.0"
"201311","BAYAMON             ","VEGA BAJA 2         ","41.0"
"201210","GUAYAMA             ","SANTA ISABEL        ","39.0"
"201401","CAGUAS              ","COMERIO             ","32.0"
"201212","MAYAGÜEZ            ","MARICAO             ","4.0"
"201308","CAROLINA            ","RIO GRANDE 1        ","47.0"
"201409","ARECIBO             ","UTUADO 1            ","34.0"
"201306","ARECIBO             ","ARECIBO 3           ","50.0"
"201408","GUAYAMA             ","CAYEY               ","64.0"
"201303","CAGUAS              ","BARRANQUITAS        ","34.0"
"201305","BAYAMON             ","COROZAL             ","38.0"
"201403","GUAYAMA             ","SALINAS             ","58.0"
"201312","HUMACAO             ","YABUCOA             ","42.0"
"201408","PONCE               ","PONCE 1             ","53.0"
"201310","MAYAGÜEZ            ","GUANICA             ","32.0"
"201210","CAGUAS              ","GURABO              ","28.0"
"201402","HUMACAO             ","CULEBRA             ","3.0"
"201212","PONCE               ","CASTAÑER            ","2.0"
"201304","AGUADILLA           ","SAN SEBASTÍAN       ","41.0"
"201401","ARECIBO             ","BARCELONETA         ","33.0"
"201404","PONCE               ","GUAYANILLA          ","36.0"
"201303","BAYAMON             ","TOA BAJA 1          ","37.0"
"201306","BAYAMON             ","BAYAMON 2           ","46.0"
"201405","CAGUAS              ","COMERIO             ","31.0"
"201210","GUAYAMA             ","GUAYAMA             ","77.0"
"201408","CAGUAS              ","COMERIO             ","27.0"
"201309","AGUADILLA           ","MOCA                ","59.0"
"201408","PONCE               ","VILLALBA            ","45.0"
"201307","MAYAGÜEZ            ","SABANA GRANDE       ","31.0"
"201210","ARECIBO             ","QUEBRADILLAS        ","65.0"
"201303","CAROLINA            ","CANOVANAS           ","45.0"
"201402","HUMACAO             ","VIEQUES             ","27.0"
"201310","HUMACAO             ","CULEBRA             ","7.0"
"201302","BAYAMON             ","COROZAL             ","58.0"
"201409","SAN JUAN            ","CUPEY               ","6.0"
"201210","ARECIBO             ","FLORIDA             ","22.0"
"201405","BAYAMON             ","TOA BAJA 1          ","33.0"
"201210","GUAYAMA             ","PATILLAS            ","55.0"
"201308","BAYAMON             ","BAYAMON 2           ","36.0"
"201308","ARECIBO             ","MOROVIS             ","41.0"
"201408","ARECIBO             ","UTUADO 1            ","33.0"
"201407","GUAYAMA             ","PATILLAS            ","37.0"
"201312","PONCE               ","COAMO               ","46.0"
"201302","SAN JUAN            ","RIO PIEDRAS 3       ","56.0"
"201409","SAN JUAN            ","SAN JUAN            ","74.0"
"201306","SAN JUAN            ","RIO PIEDRAS 1       ","32.0"
"201310","CAROLINA            ","LUQUILLO            ","28.0"
"201409","SAN JUAN            ","GUAYNABO 2          ","10.0"
"201306","SAN JUAN            ","RIO PIEDRAS 2       ","56.0"
"201308","MAYAGÜEZ            ","AÑASCO              ","34.0"
"201304","AGUADILLA           ","AGUADILLA 2         ","36.0"
"201301","GUAYAMA             ","GUAYAMA             ","46.0"
"201308","GUAYAMA             ","SALINAS             ","40.0"
"201304","MAYAGÜEZ            ","HORMIGUEROS         ","14.0"
"201308","AGUADILLA           ","SAN SEBASTÍAN       ","41.0"
"201210","GUAYAMA             ","CAYEY               ","51.0"
"201310","CAROLINA            ","CANOVANAS           ","50.0"
"201301","GUAYAMA             ","SALINAS             ","51.0"
"201210","PONCE               ","JUANA DIAZ          ","68.0"
"201211","ARECIBO             ","CAMUY               ","53.0"
"201212","CAGUAS              ","COMERIO             ","17.0"
"201211","GUAYAMA             ","GUAYAMA             ","84.0"
"201307","ARECIBO             ","CAMUY               ","51.0"
"201304","AGUADILLA           ","AGUADILLA 1         ","45.0"
"201304","HUMACAO             ","CULEBRA             ","4.0"
"201212","SAN JUAN            ","CUPEY               ","7.0"
"201308","BAYAMON             ","VEGA ALTA           ","42.0"
"201404","AGUADILLA           ","AGUADA              ","52.0"
"201303","ARECIBO             ","ARECIBO 3           ","34.0"
"201211","MAYAGÜEZ            ","LAJAS               ","47.0"
"201308","AGUADILLA           ","AGUADA              ","66.0"
"201401","GUAYAMA             ","CAYEY               ","51.0"
"201409","AGUADILLA           ","MOCA                ","47.0"
"201406","BAYAMON             ","VEGA BAJA 1         ","30.0"
"201406","PONCE               ","OROCOVIS            ","43.0"
"201408","CAGUAS              ","BARRANQUITAS        ","35.0"
"201310","SAN JUAN            ","RIO PIEDRAS 3       ","60.0"
"201404","SAN JUAN            ","GUAYNABO 2          ","13.0"
"201310","HUMACAO             ","LAS PIEDRAS         ","69.0"
"201403","ARECIBO             ","UTUADO 2            ","14.0"
"201408","MAYAGÜEZ            ","AÑASCO              ","40.0"
"201211","CAROLINA            ","CAROLINA 1          ","50.0"
"201302","CAROLINA            ","CAROLINA 1          ","56.0"
"201304","MAYAGÜEZ            ","MARICAO             ","11.0"
"201403","HUMACAO             ","VIEQUES             ","19.0"
"201212","HUMACAO             ","CULEBRA             ","1.0"
"201211","HUMACAO             ","MAUNABO             ","36.0"
"201310","MAYAGÜEZ            ","AÑASCO              ","48.0"
"201307","HUMACAO             ","VIEQUES             ","22.0"
"201310","AGUADILLA           ","RINCÓN              ","38.0"
"201407","GUAYAMA             ","ARROYO              ","57.0"
"201310","BAYAMON             ","TOA BAJA 2          ","36.0"
"201404","BAYAMON             ","DORADO              ","34.0"
"201212","CAROLINA            ","RIO GRANDE 1        ","43.0"
"201307","MAYAGÜEZ            ","CABO ROJO           ","57.0"
"201406","CAGUAS              ","COMERIO             ","19.0"
"201309","MAYAGÜEZ            ","MAYAGÜEZ            ","104.0"
"201306","AGUADILLA           ","MOCA                ","61.0"
"201408","HUMACAO             ","HUMACAO             ","69.0"
"201307","PONCE               ","PONCE 1             ","56.0"
"201407","AGUADILLA           ","LAS MARÍAS          ","17.0"
"201305","SAN JUAN            ","GUAYNABO 2          ","9.0"
"201303","BAYAMON             ","TOA ALTA            ","41.0"
"201305","BAYAMON             ","NARANJITO           ","43.0"
"201305","PONCE               ","JAYUYA              ","28.0"
"201306","BAYAMON             ","VEGA ALTA           ","35.0"
"201307","ARECIBO             ","MANATI              ","51.0"
"201306","ARECIBO             ","UTUADO 2            ","22.0"
"201211","BAYAMON             ","CATAÑO              ","29.0"
"201401","BAYAMON             ","VEGA ALTA           ","32.0"
"201401","PONCE               ","JUANA DIAZ          ","73.0"
"201407","AGUADILLA           ","AGUADA              ","65.0"
"201305","AGUADILLA           ","RINCÓN              ","24.0"
"201402","AGUADILLA           ","MOCA                ","51.0"
"201306","ARECIBO             ","QUEBRADILLAS        ","50.0"
"201212","HUMACAO             ","FAJARDO             ","49.0"
"201210","HUMACAO             ","HUMACAO             ","85.0"
"201409","AGUADILLA           ","AGUADILLA 2         ","44.0"
"201406","AGUADILLA           ","LAS MARÍAS          ","25.0"
"201404","HUMACAO             ","CEIBA               ","17.0"
"201312","AGUADILLA           ","AGUADA              ","43.0"
"201210","CAGUAS              ","CAGUAS              ","136.0"
"201308","ARECIBO             ","ARECIBO 1           ","68.0"
"201407","CAGUAS              ","CAGUAS              ","152.0"
"201308","CAROLINA            ","LUQUILLO            ","20.0"
"201307","SAN JUAN            ","RIO PIEDRAS 3       ","45.0"
"201307","BAYAMON             ","TOA BAJA 1          ","42.0"
"201408","ARECIBO             ","MOROVIS             ","49.0"
"201401","PONCE               ","GUAYANILLA          ","31.0"
"201403","ARECIBO             ","LARES               ","51.0"
"201408","MAYAGÜEZ            ","GUANICA             ","41.0"
"201309","AGUADILLA           ","AGUADILLA 2         ","48.0"
"201402","GUAYAMA             ","ARROYO              ","28.0"
"201212","GUAYAMA             ","ARROYO              ","33.0"
"201402","ARECIBO             ","FLORIDA             ","19.0"
"201301","SAN JUAN            ","RIO PIEDRAS 1       ","32.0"
"201303","AGUADILLA           ","RINCÓN              ","18.0"
"201401","ARECIBO             ","MANATI              ","44.0"
"201306","MAYAGÜEZ            ","MARICAO             ","6.0"
"201310","AGUADILLA           ","LAS MARÍAS          ","15.0"
"201409","ARECIBO             ","LARES               ","39.0"
"201210","ARECIBO             ","UTUADO 2            ","15.0"
"201303","PONCE               ","JUANA DIAZ          ","98.0"
"201312","CAGUAS              ","CAGUAS              ","107.0"
"201212","PONCE               ","PONCE 3             ","71.0"
"201302","AGUADILLA           ","LAS MARÍAS          ","18.0"
"201312","GUAYAMA             ","PATILLAS            ","30.0"
"201304","ARECIBO             ","MOROVIS             ","45.0"
"201309","CAROLINA            ","RIO GRANDE 1        ","73.0"
"201406","CAROLINA            ","LOIZA               ","25.0"
"201403","BAYAMON             ","BAYAMON 2           ","22.0"
"201309","SAN JUAN            ","GUAYNABO 2          ","15.0"
"201304","BAYAMON             ","TOA BAJA 1          ","30.0"
"201304","ARECIBO             ","CAMUY               ","38.0"
"201405","ARECIBO             ","CIALES              ","30.0"
"201306","CAGUAS              ","AGUAS BUENAS        ","24.0"
"201401","ARECIBO             ","QUEBRADILLAS        ","38.0"
"201403","MAYAGÜEZ            ","GUANICA             ","24.0"
"201310","MAYAGÜEZ            ","MARICAO             ","8.0"
"201307","PONCE               ","CASTAÑER            ","6.0"
"201406","ARECIBO             ","CAMUY               ","58.0"
"201406","AGUADILLA           ","AGUADILLA 2         ","43.0"
"201310","ARECIBO             ","CIALES              ","42.0"
"201402","BAYAMON             ","VEGA BAJA 2         ","36.0"
"201210","MAYAGÜEZ            ","SABANA GRANDE       ","33.0"
"201407","PONCE               ","COAMO               ","71.0"
"201403","HUMACAO             ","LAS PIEDRAS         ","46.0"
"201312","PONCE               ","PONCE 3             ","89.0"
"201302","AGUADILLA           ","AGUADILLA 1         ","51.0"
"201406","HUMACAO             ","FAJARDO             ","49.0"
"201401","MAYAGÜEZ            ","LAJAS               ","38.0"
"201406","ARECIBO             ","HATILLO             ","62.0"
"201409","HUMACAO             ","JUNCOS              ","27.0"
"201409","PONCE               ","JAYUYA              ","33.0"
"201303","PONCE               ","VILLALBA            ","44.0"
"201401","BAYAMON             ","COROZAL             ","43.0"
"201405","AGUADILLA           ","AGUADILLA 2         ","55.0"
"201211","HUMACAO             ","YABUCOA             ","75.0"
"201306","ARECIBO             ","MANATI              ","51.0"
"201309","CAGUAS              ","SAN LORENZO         ","52.0"
"201210","CAGUAS              ","BARRANQUITAS        ","37.0"
