"fch_cerrado","region","oficina","familias"
"201312","HUMACAO             ","CEIBA               ","20.0"
"201306","HUMACAO             ","YABUCOA             ","84.0"
"201406","GUAYAMA             ","GUAYAMA             ","97.0"
"201310","AGUADILLA           ","MOCA                ","75.0"
"201307","BAYAMON             ","BAYAMON 2           ","46.0"
"201308","PONCE               ","GUAYANILLA          ","31.0"
"201210","ARECIBO             ","MANATI              ","55.0"
"201305","SAN JUAN            ","RIO PIEDRAS 3       ","53.0"
"201401","BAYAMON             ","BAYAMON 2           ","34.0"
"201211","PONCE               ","YAUCO               ","86.0"
"201310","BAYAMON             ","COROZAL             ","47.0"
"201311","HUMACAO             ","CEIBA               ","26.0"
"201304","AGUADILLA           ","LAS MARÍAS          ","5.0"
"201408","SAN JUAN            ","CUPEY               ","10.0"
"201404","AGUADILLA           ","ISABELA             ","89.0"
"201405","AGUADILLA           ","AGUADILLA 1         ","34.0"
"201312","AGUADILLA           ","SAN SEBASTÍAN       ","37.0"
"201406","AGUADILLA           ","AGUADA              ","61.0"
"201210","BAYAMON             ","TOA BAJA 2          ","27.0"
"201305","MAYAGÜEZ            ","MAYAGÜEZ            ","54.0"
"201312","CAGUAS              ","CIDRA               ","42.0"
"201308","MAYAGÜEZ            ","MAYAGÜEZ            ","73.0"
"201302","SAN JUAN            ","RIO PIEDRAS 1       ","33.0"
"201304","ARECIBO             ","LARES               ","44.0"
"201401","HUMACAO             ","FAJARDO             ","58.0"
"201312","SAN JUAN            ","RIO PIEDRAS 1       ","30.0"
"201408","ARECIBO             ","ARECIBO 1           ","86.0"
"201302","ARECIBO             ","LARES               ","61.0"
"201305","BAYAMON             ","TOA ALTA            ","63.0"
"201404","CAGUAS              ","GURABO              ","50.0"
"201408","ARECIBO             ","QUEBRADILLAS        ","47.0"
"201403","BAYAMON             ","TOA ALTA            ","56.0"
"201212","MAYAGÜEZ            ","CABO ROJO           ","40.0"
"201210","GUAYAMA             ","SALINAS             ","34.0"
"201308","SAN JUAN            ","GUAYNABO 2          ","8.0"
"201403","PONCE               ","CASTAÑER            ","3.0"
"201312","BAYAMON             ","TOA BAJA 2          ","27.0"
"201302","MAYAGÜEZ            ","GUANICA             ","35.0"
"201305","SAN JUAN            ","RIO PIEDRAS 1       ","35.0"
"201307","MAYAGÜEZ            ","AÑASCO              ","44.0"
"201304","CAGUAS              ","CAGUAS              ","119.0"
"201302","HUMACAO             ","HUMACAO             ","99.0"
"201312","CAROLINA            ","LOIZA               ","30.0"
"201409","GUAYAMA             ","GUAYAMA             ","78.0"
"201210","HUMACAO             ","CULEBRA             ","7.0"
"201408","BAYAMON             ","BAYAMON 2           ","40.0"
"201211","MAYAGÜEZ            ","HORMIGUEROS         ","24.0"
"201301","MAYAGÜEZ            ","CABO ROJO           ","40.0"
"201310","GUAYAMA             ","ARROYO              ","40.0"
"201305","ARECIBO             ","LARES               ","55.0"
"201211","DESCONOCIDA         ","DESCONOCIDA         ","21.0"
"201402","ARECIBO             ","UTUADO 2            ","11.0"
"201312","ARECIBO             ","MOROVIS             ","41.0"
"201409","SAN JUAN            ","GUAYNABO 1          ","28.0"
"201407","HUMACAO             ","CULEBRA             ","2.0"
"201403","BAYAMON             ","CATAÑO              ","20.0"
"201301","BAYAMON             ","TOA ALTA            ","33.0"
"201304","PONCE               ","PONCE 3             ","86.0"
"201309","ARECIBO             ","UTUADO 2            ","17.0"
"201406","BAYAMON             ","VEGA BAJA 2         ","16.0"
"201408","MAYAGÜEZ            ","CABO ROJO           ","52.0"
"201301","CAGUAS              ","SAN LORENZO         ","30.0"
"201407","BAYAMON             ","VEGA BAJA 1         ","25.0"
"201305","PONCE               ","PONCE 2             ","85.0"
"201210","SAN JUAN            ","GUAYNABO 2          ","9.0"
"201409","MAYAGÜEZ            ","CABO ROJO           ","49.0"
"201303","ARECIBO             ","LARES               ","50.0"
"201310","PONCE               ","CASTAÑER            ","6.0"
"201308","HUMACAO             ","CULEBRA             ","1.0"
"201311","GUAYAMA             ","PATILLAS            ","34.0"
"201312","PONCE               ","YAUCO               ","50.0"
"201305","CAGUAS              ","BARRANQUITAS        ","39.0"
"201210","PONCE               ","PONCE 1             ","50.0"
"201301","CAROLINA            ","LOIZA               ","23.0"
"201406","MAYAGÜEZ            ","HORMIGUEROS         ","20.0"
"201404","HUMACAO             ","LAS PIEDRAS         ","51.0"
"201311","PONCE               ","JAYUYA              ","28.0"
"201306","CAROLINA            ","CAROLINA 1          ","37.0"
"201304","PONCE               ","COAMO               ","61.0"
"201302","SAN JUAN            ","RIO PIEDRAS 4       ","34.0"
"201307","GUAYAMA             ","CAYEY               ","67.0"
"201402","ARECIBO             ","LARES               ","41.0"
"201309","BAYAMON             ","CATAÑO              ","22.0"
"201402","BAYAMON             ","VEGA BAJA 1         ","18.0"
"201402","CAROLINA            ","CAROLINA 2          ","25.0"
"201309","GUAYAMA             ","GUAYAMA             ","88.0"
"201305","CAGUAS              ","GURABO              ","44.0"
"201212","AGUADILLA           ","MOCA                ","46.0"
"201405","BAYAMON             ","CATAÑO              ","18.0"
"201301","GUAYAMA             ","PATILLAS            ","35.0"
"201404","HUMACAO             ","MAUNABO             ","15.0"
"201304","GUAYAMA             ","SALINAS             ","52.0"
"201306","MAYAGÜEZ            ","HORMIGUEROS         ","21.0"
"201305","GUAYAMA             ","SALINAS             ","47.0"
"201405","BAYAMON             ","VEGA BAJA 2         ","25.0"
"201409","ARECIBO             ","CIALES              ","23.0"
"201408","HUMACAO             ","MAUNABO             ","21.0"
"201408","BAYAMON             ","VEGA ALTA           ","27.0"
"201311","BAYAMON             ","NARANJITO           ","21.0"
"201304","SAN JUAN            ","CUPEY               ","4.0"
"201311","PONCE               ","OROCOVIS            ","50.0"
"201311","GUAYAMA             ","SALINAS             ","66.0"
"201309","SAN JUAN            ","RIO PIEDRAS 2       ","74.0"
"201212","AGUADILLA           ","AGUADILLA 1         ","34.0"
"201405","ARECIBO             ","ARECIBO 3           ","39.0"
"201302","CAROLINA            ","CANOVANAS           ","74.0"
"201304","CAGUAS              ","AGUAS BUENAS        ","22.0"
"201302","PONCE               ","PEÑUELAS            ","55.0"
"201405","PONCE               ","JUANA DIAZ          ","69.0"
"201405","ARECIBO             ","UTUADO 1            ","41.0"
"201309","BAYAMON             ","TOA ALTA            ","74.0"
"201308","BAYAMON             ","CATAÑO              ","44.0"
"201403","ARECIBO             ","CIALES              ","45.0"
"201302","SAN JUAN            ","CUPEY               ","11.0"
"201303","HUMACAO             ","MAUNABO             ","22.0"
"201408","BAYAMON             ","VEGA BAJA 2         ","18.0"
"201409","MAYAGÜEZ            ","HORMIGUEROS         ","14.0"
"201401","MAYAGÜEZ            ","MAYAGÜEZ            ","91.0"
"201212","PONCE               ","YAUCO               ","56.0"
"201303","MAYAGÜEZ            ","MAYAGÜEZ            ","65.0"
"201308","AGUADILLA           ","AGUADILLA 1         ","36.0"
"201409","BAYAMON             ","VEGA BAJA 2         ","27.0"
"201210","HUMACAO             ","CEIBA               ","29.0"
"201307","BAYAMON             ","NARANJITO           ","29.0"
"201401","AGUADILLA           ","SAN SEBASTÍAN       ","54.0"
"201306","CAROLINA            ","LOIZA               ","29.0"
"201408","SAN JUAN            ","RIO PIEDRAS 3       ","46.0"
"201401","CAROLINA            ","CAROLINA 1          ","45.0"
"201307","GUAYAMA             ","ARROYO              ","42.0"
"201305","SAN JUAN            ","GUAYNABO 1          ","56.0"
"201408","PONCE               ","AIBONITO            ","29.0"
"201303","PONCE               ","JAYUYA              ","27.0"
"201302","HUMACAO             ","CEIBA               ","28.0"
"201301","AGUADILLA           ","RINCÓN              ","13.0"
"201405","BAYAMON             ","VEGA ALTA           ","44.0"
"201409","ARECIBO             ","UTUADO 2            ","4.0"
"201401","AGUADILLA           ","RINCÓN              ","24.0"
"201301","PONCE               ","CASTAÑER            ","2.0"
"201312","CAROLINA            ","TRUJILLO ALTO       ","42.0"
"201407","MAYAGÜEZ            ","LAJAS               ","34.0"
"201312","CAGUAS              ","SAN LORENZO         ","44.0"
"201303","GUAYAMA             ","SANTA ISABEL        ","34.0"
"201306","GUAYAMA             ","ARROYO              ","43.0"
"201404","BAYAMON             ","COROZAL             ","53.0"
"201303","CAGUAS              ","SAN LORENZO         ","38.0"
"201402","HUMACAO             ","LAS PIEDRAS         ","34.0"
"201311","PONCE               ","GUAYANILLA          ","53.0"
"201303","PONCE               ","PONCE 1             ","36.0"
"201405","PONCE               ","AIBONITO            ","39.0"
"201305","CAGUAS              ","COMERIO             ","38.0"
"201310","SAN JUAN            ","GUAYNABO 1          ","47.0"
"201406","BAYAMON             ","TOA BAJA 2          ","26.0"
"201302","ARECIBO             ","UTUADO 2            ","17.0"
"201407","MAYAGÜEZ            ","SABANA GRANDE       ","44.0"
"201408","PONCE               ","PONCE 2             ","71.0"
"201408","CAROLINA            ","CAROLINA 2          ","67.0"
"201211","AGUADILLA           ","AGUADILLA 2         ","38.0"
"201306","CAROLINA            ","LUQUILLO            ","33.0"
"201306","ARECIBO             ","CIALES              ","32.0"
"201309","MAYAGÜEZ            ","SABANA GRANDE       ","44.0"
"201211","HUMACAO             ","JUNCOS              ","60.0"
"201403","ARECIBO             ","QUEBRADILLAS        ","51.0"
"201402","ARECIBO             ","QUEBRADILLAS        ","34.0"
"201312","HUMACAO             ","LAS PIEDRAS         ","37.0"
"201403","ARECIBO             ","UTUADO 1            ","37.0"
"201312","AGUADILLA           ","RINCÓN              ","23.0"
"201407","BAYAMON             ","NARANJITO           ","28.0"
"201212","BAYAMON             ","DORADO              ","37.0"
"201306","BAYAMON             ","BAYAMON 3           ","81.0"
"201401","PONCE               ","ADJUNTAS            ","34.0"
"201303","HUMACAO             ","JUNCOS              ","42.0"
"201407","CAGUAS              ","AGUAS BUENAS        ","34.0"
"201409","PONCE               ","GUAYANILLA          ","32.0"
"201305","HUMACAO             ","MAUNABO             ","37.0"
"201309","MAYAGÜEZ            ","CABO ROJO           ","50.0"
"201303","BAYAMON             ","COROZAL             ","31.0"
"201403","PONCE               ","ADJUNTAS            ","36.0"
"201401","PONCE               ","JAYUYA              ","20.0"
"201210","DESCONOCIDA         ","DESCONOCIDA         ","22.0"
"201308","HUMACAO             ","YABUCOA             ","45.0"
"201301","AGUADILLA           ","LAS MARÍAS          ","15.0"
"201301","ARECIBO             ","CIALES              ","15.0"
"201211","MAYAGÜEZ            ","SAN GERMAN          ","53.0"
"201211","PONCE               ","JUANA DIAZ          ","95.0"
"201408","PONCE               ","GUAYANILLA          ","48.0"
"201306","BAYAMON             ","VEGA BAJA 2         ","33.0"
"201408","PONCE               ","JUANA DIAZ          ","65.0"
"201306","MAYAGÜEZ            ","CABO ROJO           ","37.0"
"201409","PONCE               ","OROCOVIS            ","32.0"
"201210","MAYAGÜEZ            ","AÑASCO              ","43.0"
"201403","CAGUAS              ","CIDRA               ","34.0"
"201210","AGUADILLA           ","AGUADILLA 2         ","52.0"
"201408","HUMACAO             ","YABUCOA             ","67.0"
"201305","ARECIBO             ","UTUADO 2            ","11.0"
"201402","BAYAMON             ","BAYAMON 2           ","30.0"
"201311","CAROLINA            ","TRUJILLO ALTO       ","47.0"
"201406","MAYAGÜEZ            ","SAN GERMAN          ","54.0"
"201308","SAN JUAN            ","RIO PIEDRAS 3       ","32.0"
"201403","GUAYAMA             ","ARROYO              ","37.0"
"201402","PONCE               ","CASTAÑER            ","4.0"
"201409","MAYAGÜEZ            ","MARICAO             ","7.0"
"201211","CAGUAS              ","CAGUAS              ","140.0"
"201406","PONCE               ","YAUCO               ","57.0"
"201302","BAYAMON             ","CATAÑO              ","30.0"
"201312","MAYAGÜEZ            ","AÑASCO              ","40.0"
"201406","ARECIBO             ","ARECIBO 1           ","76.0"
"201408","PONCE               ","OROCOVIS            ","35.0"
"201406","BAYAMON             ","BAYAMON 3           ","88.0"
"201304","CAROLINA            ","LUQUILLO            ","21.0"
"201408","GUAYAMA             ","ARROYO              ","50.0"
"201312","PONCE               ","PEÑUELAS            ","46.0"
"201211","PONCE               ","PONCE 1             ","45.0"
"201303","HUMACAO             ","VIEQUES             ","27.0"
"201401","HUMACAO             ","JUNCOS              ","30.0"
"201308","CAROLINA            ","LOIZA               ","28.0"
"201212","CAROLINA            ","CAROLINA 2          ","31.0"
"201401","CAROLINA            ","CAROLINA 2          ","27.0"
"201312","GUAYAMA             ","ARROYO              ","31.0"
"201211","GUAYAMA             ","SALINAS             ","79.0"
"201403","CAROLINA            ","TRUJILLO ALTO       ","37.0"
"201301","GUAYAMA             ","CAYEY               ","45.0"
"201404","MAYAGÜEZ            ","HORMIGUEROS         ","24.0"
"201309","ARECIBO             ","QUEBRADILLAS        ","68.0"
"201407","AGUADILLA           ","RINCÓN              ","32.0"
"201302","CAGUAS              ","SAN LORENZO         ","73.0"
"201301","HUMACAO             ","CEIBA               ","18.0"
"201404","BAYAMON             ","TOA BAJA 1          ","47.0"
"201406","PONCE               ","JAYUYA              ","35.0"
"201211","SAN JUAN            ","CUPEY               ","7.0"
"201403","HUMACAO             ","MAUNABO             ","25.0"
"201401","ARECIBO             ","MOROVIS             ","39.0"
"201307","CAROLINA            ","CAROLINA 1          ","43.0"
"201401","PONCE               ","CASTAÑER            ","1.0"
"201311","ARECIBO             ","MOROVIS             ","46.0"
"201211","PONCE               ","PEÑUELAS            ","46.0"
"201304","BAYAMON             ","BAYAMON 3           ","48.0"
"201302","SAN JUAN            ","SAN JUAN            ","59.0"
"201409","SAN JUAN            ","RIO PIEDRAS 4       ","34.0"
"201311","BAYAMON             ","VEGA BAJA 1         ","40.0"
"201404","GUAYAMA             ","ARROYO              ","43.0"
"201409","ARECIBO             ","MOROVIS             ","30.0"
"201406","CAGUAS              ","CAGUAS              ","123.0"
"201301","MAYAGÜEZ            ","HORMIGUEROS         ","15.0"
"201407","SAN JUAN            ","RIO PIEDRAS 3       ","65.0"
"201303","SAN JUAN            ","RIO PIEDRAS 4       ","28.0"
"201404","GUAYAMA             ","CAYEY               ","69.0"
"201406","HUMACAO             ","CEIBA               ","16.0"
"201308","PONCE               ","ADJUNTAS            ","33.0"
"201312","PONCE               ","CASTAÑER            ","2.0"
"201311","DESCONOCIDA         ","DESCONOCIDA         ","21.0"
"201307","HUMACAO             ","CEIBA               ","25.0"
"201408","PONCE               ","CASTAÑER            ","7.0"
"201302","PONCE               ","AIBONITO            ","55.0"
"201305","HUMACAO             ","HUMACAO             ","70.0"
"201408","ARECIBO             ","UTUADO 2            ","22.0"
"201403","AGUADILLA           ","MOCA                ","69.0"
"201403","BAYAMON             ","VEGA BAJA 1         ","24.0"
"201302","GUAYAMA             ","SALINAS             ","55.0"
"201301","PONCE               ","COAMO               ","47.0"
"201303","PONCE               ","YAUCO               ","55.0"
"201407","ARECIBO             ","CIALES              ","30.0"
"201303","MAYAGÜEZ            ","GUANICA             ","39.0"
"201309","CAROLINA            ","TRUJILLO ALTO       ","49.0"
"201309","PONCE               ","PEÑUELAS            ","58.0"
"201306","CAROLINA            ","CANOVANAS           ","53.0"
"201403","CAGUAS              ","AGUAS BUENAS        ","21.0"
"201311","AGUADILLA           ","LAS MARÍAS          ","25.0"
"201212","MAYAGÜEZ            ","AÑASCO              ","34.0"
"201402","ARECIBO             ","HATILLO             ","42.0"
"201303","CAROLINA            ","CAROLINA 1          ","27.0"
"201212","CAGUAS              ","CIDRA               ","40.0"
"201312","PONCE               ","JAYUYA              ","23.0"
"201212","ARECIBO             ","MANATI              ","42.0"
"201407","SAN JUAN            ","RIO PIEDRAS 1       ","48.0"
"201306","ARECIBO             ","FLORIDA             ","25.0"
"201311","SAN JUAN            ","GUAYNABO 2          ","9.0"
"201304","ARECIBO             ","UTUADO 2            ","13.0"
"201312","HUMACAO             ","HUMACAO             ","76.0"
"201401","PONCE               ","OROCOVIS            ","40.0"
"201406","CAGUAS              ","CIDRA               ","61.0"
"201301","CAGUAS              ","CAGUAS              ","106.0"
"201211","ARECIBO             ","FLORIDA             ","29.0"
"201404","ARECIBO             ","UTUADO 1            ","48.0"
"201406","PONCE               ","PEÑUELAS            ","49.0"
"201301","CAROLINA            ","CAROLINA 1          ","29.0"
"201310","HUMACAO             ","HUMACAO             ","77.0"
"201306","HUMACAO             ","LAS PIEDRAS         ","55.0"
"201308","AGUADILLA           ","LAS MARÍAS          ","11.0"
"201308","CAGUAS              ","AGUAS BUENAS        ","21.0"
"201309","SAN JUAN            ","RIO PIEDRAS 4       ","29.0"
"201311","ARECIBO             ","ARECIBO 1           ","100.0"
"201402","HUMACAO             ","JUNCOS              ","23.0"
"201210","MAYAGÜEZ            ","LAJAS               ","47.0"
"201307","CAROLINA            ","CANOVANAS           ","49.0"
"201305","GUAYAMA             ","PATILLAS            ","36.0"
"201405","PONCE               ","VILLALBA            ","47.0"
"201210","MAYAGÜEZ            ","MARICAO             ","9.0"
"201311","ARECIBO             ","UTUADO 2            ","12.0"
"201212","AGUADILLA           ","LAS MARÍAS          ","18.0"
"201309","MAYAGÜEZ            ","MARICAO             ","10.0"
"201311","PONCE               ","AIBONITO            ","43.0"
"201311","PONCE               ","PONCE 1             ","72.0"
"201305","PONCE               ","GUAYANILLA          ","37.0"
"201405","GUAYAMA             ","SANTA ISABEL        ","32.0"
"201404","MAYAGÜEZ            ","CABO ROJO           ","50.0"
"201403","ARECIBO             ","ARECIBO 3           ","40.0"
"201407","CAROLINA            ","CAROLINA 2          ","66.0"
"201303","ARECIBO             ","ARECIBO 1           ","88.0"
"201403","GUAYAMA             ","GUAYAMA             ","83.0"
"201212","CAROLINA            ","CANOVANAS           ","49.0"
"201409","ARECIBO             ","FLORIDA             ","22.0"
"201312","MAYAGÜEZ            ","LAJAS               ","34.0"
"201310","ARECIBO             ","LARES               ","91.0"
"201403","CAGUAS              ","BARRANQUITAS        ","35.0"
"201402","CAGUAS              ","AGUAS BUENAS        ","26.0"
"201309","ARECIBO             ","ARECIBO 3           ","43.0"
"201304","PONCE               ","YAUCO               ","69.0"
"201408","ARECIBO             ","LARES               ","62.0"
"201310","HUMACAO             ","CEIBA               ","25.0"
"201309","PONCE               ","JAYUYA              ","33.0"
"201403","AGUADILLA           ","ISABELA             ","55.0"
"201308","ARECIBO             ","CIALES              ","21.0"
"201302","PONCE               ","ADJUNTAS            ","36.0"
"201305","AGUADILLA           ","LAS MARÍAS          ","20.0"
"201308","ARECIBO             ","FLORIDA             ","18.0"
"201409","CAGUAS              ","AGUAS BUENAS        ","14.0"
"201308","HUMACAO             ","CEIBA               ","12.0"
"201305","BAYAMON             ","DORADO              ","29.0"
"201401","CAGUAS              ","CIDRA               ","31.0"
"201308","PONCE               ","PONCE 1             ","58.0"
"201211","BAYAMON             ","VEGA ALTA           ","42.0"
"201404","CAROLINA            ","CAROLINA 1          ","54.0"
"201407","CAROLINA            ","LOIZA               ","31.0"
"201403","GUAYAMA             ","CAYEY               ","60.0"
"201308","ARECIBO             ","MANATI              ","51.0"
