"stamp","created_at","reason","residency","language"
"6967","2015-06-07T12:50:38.000","Otros...","PR.BC, PR","spanish"
"6966","2015-06-07T12:50:00.000","Otros...","PR.LZ, PR","spanish"
"6965","2015-06-07T12:49:51.000","Empleo","PR.PO, PR","spanish"
"6964","2015-06-07T12:49:07.000","Empleo","PR.CG, PR","spanish"
"6963","2015-06-07T12:47:57.000","Otros...","PR.VB, PR","spanish"
"6962","2015-06-07T12:46:00.000","Empleo","PR.SJ, PR","spanish"
"6961","2015-06-07T12:43:03.000","Vivienda","PR.TB, PR","spanish"
"6960","2015-06-07T12:34:59.000","Empleo","PR.BC, PR","spanish"
"6959","2015-06-07T12:32:13.000","Empleo","PR.GB, PR","spanish"
"6958","2015-06-07T12:31:42.000","Empleo","PR.QB, PR","spanish"
"6957","2015-06-07T12:31:34.000","Estudios","PR.CD, PR","spanish"
"6956","2015-06-07T12:30:31.000","Vivienda","PR.BC, PR","spanish"
"6955","2015-06-07T12:28:53.000","Licencia de Armas","PR.CV, PR","spanish"
"6954","2015-06-07T12:26:50.000","Empleo","PR.MC, PR","spanish"
"6953","2015-06-07T12:22:59.000","Empleo","PR.MC, PR","spanish"
"6952","2015-06-07T12:17:30.000","Empleo","PR.MC, PR","spanish"
"6951","2015-06-07T12:14:29.000","Empleo","PR.CN, PR","spanish"
"6950","2015-06-07T12:13:19.000","Empleo","PR.CL, PR","spanish"
"6949","2015-06-07T12:12:38.000","Empleo","PR.CL, PR","spanish"
"6948","2015-06-07T12:12:23.000","Estudios","PR.TJ, PR","spanish"
"6947","2015-06-07T12:11:37.000","Patentes o Franquicias","PR.SJ, PR","spanish"
"6946","2015-06-07T12:09:34.000","Empleo","PR.MC, PR","spanish"
"6945","2015-06-07T12:03:47.000","Empleo","PR.CL, PR","spanish"
"6944","2015-06-07T12:02:21.000","Estudios","PR.BC, PR","spanish"
"6943","2015-06-07T11:59:40.000","Estudios","PR.BY, PR","spanish"
"6942","2015-06-07T11:59:22.000","Vivienda","PR.MV, PR","spanish"
"6941","2015-06-07T11:58:44.000","Empleo","PR.SJ, PR","spanish"
"6940","2015-06-07T11:58:31.000","Otros...","PR.BY, PR","spanish"
"6939","2015-06-07T11:54:57.000","Empleo","PR.LR, PR","spanish"
"6938","2015-06-07T11:54:23.000","Vivienda","PR.GM, PR","spanish"
"6937","2015-06-07T11:51:45.000","Empleo","PR.CL, PR","spanish"
"6936","2015-06-07T11:48:46.000","Estudios","PR.SS, PR","spanish"
"6935","2015-06-07T11:45:19.000","Empleo","DO","spanish"
"6934","2015-06-07T11:38:57.000","Empleo","PR.LP, PR","spanish"
"6933","2015-06-07T11:37:18.000","Empleo","PR.BY, PR","spanish"
"6932","2015-06-07T11:27:24.000","Empleo","PR.VA, PR","spanish"
"6931","2015-06-07T11:26:34.000","Estudios","PR.OR, PR","spanish"
"6930","2015-06-07T11:22:50.000","Otros...","PR.CG, PR","spanish"
"6929","2015-06-07T11:20:32.000","Residencia","PR.SJ, PR","spanish"
"6928","2015-06-07T11:20:19.000","Otros...","PR.IS, PR","spanish"
"6927","2015-06-07T11:17:11.000","Empleo","PR.QB, PR","spanish"
"6926","2015-06-07T11:16:57.000","Empleo","PR.QB, PR","spanish"
"6925","2015-06-07T11:16:11.000","Empleo","PR.TA, PR","spanish"
"6924","2015-06-07T11:15:41.000","Estudios","PR.SJ, PR","spanish"
"6923","2015-06-07T11:12:47.000","Otros...","PR.GM, PR","spanish"
"6922","2015-06-07T11:10:26.000","Estudios","PR.HU, PR","spanish"
"6921","2015-06-07T11:10:25.000","Estudios","PR.VB, PR","spanish"
"6920","2015-06-07T11:03:31.000","Otros...","PR.GB, PR","spanish"
"6919","2015-06-07T11:02:52.000","Estudios","PR.SJ, PR","spanish"
"6918","2015-06-07T11:00:40.000","Empleo","PR.GB, PR","spanish"
"6917","2015-06-07T10:56:34.000","Vivienda","PR.SJ, PR","spanish"
"6916","2015-06-07T10:55:00.000","Empleo","PR.GB, PR","spanish"
"6915","2015-06-07T10:51:43.000","Empleo","PR.GB, PR","spanish"
"6914","2015-06-07T10:48:55.000","Empleo","PR.SL, PR","spanish"
"6913","2015-06-07T10:48:17.000","Empleo","PR.CG, PR","spanish"
"6912","2015-06-07T10:47:01.000","Empleo","PR.CL, PR","spanish"
"6911","2015-06-07T10:44:59.000","Empleo","PR.SJ, PR","spanish"
"6910","2015-06-07T10:43:01.000","Patentes o Franquicias","PR.CG, PR","spanish"
"6909","2015-06-07T10:39:41.000","Empleo","PR.CG, PR","spanish"
"6908","2015-06-07T10:38:44.000","Empleo","PR.CG, PR","spanish"
"6907","2015-06-07T10:38:32.000","Vivienda","PR.AC, PR","spanish"
"6906","2015-06-07T10:37:22.000","Empleo","PR.CY, PR","spanish"
"6905","2015-06-07T10:37:19.000","Empleo","PR.BY, PR","spanish"
"6904","2015-06-07T10:36:44.000","Empleo","PR.CG, PR","spanish"
"6903","2015-06-07T10:36:03.000","Empleo","PR.SG, PR","spanish"
"6902","2015-06-07T10:35:50.000","Otros...","PR.MG, PR","spanish"
"6901","2015-06-07T10:34:21.000","Empleo","PR.AJ, PR","spanish"
"6900","2015-06-07T10:32:50.000","Otros...","PR.MG, PR","spanish"
"6899","2015-06-07T10:32:14.000","Vivienda","PR.AC, PR","spanish"
"6898","2015-06-07T10:27:32.000","Otros...","PR.TJ, PR","spanish"
"6897","2015-06-07T10:23:59.000","Empleo","PR.NR, PR","spanish"
"6896","2015-06-07T10:23:33.000","Employment","PR.PO, PR","english"
"6895","2015-06-07T10:22:33.000","Vivienda","PR.PO, PR","spanish"
"6894","2015-06-07T10:22:28.000","Otros...","PR.TJ, PR","spanish"
"6893","2015-06-07T10:22:03.000","Empleo","PR.MG, PR","spanish"
"6892","2015-06-07T10:20:42.000","Patentes o Franquicias","PR.CG, PR","spanish"
"6891","2015-06-07T10:17:51.000","Estudios","PR.VA, PR","spanish"
"6890","2015-06-07T10:09:46.000","Empleo","PR.TJ, PR","spanish"
"6889","2015-06-07T10:08:06.000","Empleo","PR.SJ, PR","spanish"
"6888","2015-06-07T10:07:16.000","Otros...","PR.PN, PR","spanish"
"6887","2015-06-07T10:07:12.000","Empleo","PR.TJ, PR","spanish"
"6886","2015-06-07T10:06:27.000","Otros...","PR.AN, PR","spanish"
"6885","2015-06-07T10:06:14.000","Empleo","PR.SJ, PR","spanish"
"6884","2015-06-07T10:05:32.000","Estudios","PR.SJ, PR","spanish"
"6883","2015-06-07T10:00:41.000","Empleo","PR.CN, PR","spanish"
"6882","2015-06-07T09:59:17.000","Vivienda","PR.SB, PR","spanish"
"6881","2015-06-07T09:57:27.000","Empleo","PR.AL, PR","spanish"
"6880","2015-06-07T09:53:58.000","Empleo","PR.CN, PR","spanish"
"6879","2015-06-07T09:53:53.000","Empleo","PR.DO, PR","spanish"
"6878","2015-06-07T09:47:23.000","Empleo","PR.PO, PR","spanish"
"6877","2015-06-07T09:47:14.000","Empleo","PR.TJ, PR","spanish"
"6876","2015-06-07T09:46:11.000","Estudios","PR.AC, PR","spanish"
"6875","2015-06-07T09:46:07.000","Empleo","PR.LP, PR","spanish"
"6874","2015-06-07T09:41:18.000","Estudios","PR.HA, PR","spanish"
"6873","2015-06-07T09:41:13.000","Empleo","PR.AJ, PR","spanish"
"6872","2015-06-07T09:40:52.000","Otros...","PR.MG, PR","spanish"
"6871","2015-06-07T09:28:48.000","Empleo","PR.TB, PR","spanish"
"6870","2015-06-07T09:28:01.000","Empleo","PR.CG, PR","spanish"
"6869","2015-06-07T09:26:08.000","Empleo","PR.LJ, PR","spanish"
"6868","2015-06-07T09:26:03.000","Residencia","PR.TA, PR","spanish"
"6867","2015-06-07T09:16:46.000","Empleo","PR.CG, PR","spanish"
"6866","2015-06-07T09:14:58.000","Residencia","PR.SJ, PR","spanish"
"6865","2015-06-07T09:10:07.000","Empleo","PR.CV, PR","spanish"
"6864","2015-06-07T09:05:19.000","Otros...","PR.FJ, PR","spanish"
"6863","2015-06-07T09:03:03.000","Empleo","PR.FJ, PR","spanish"
"6862","2015-06-07T08:55:14.000","Otros...","PR.AB, PR","spanish"
"6861","2015-06-07T08:53:16.000","Otros...","PR.AB, PR","spanish"
"6860","2015-06-07T08:53:15.000","Otros...","PR.AB, PR","spanish"
"6859","2015-06-07T08:44:22.000","Estudios","PR.SJ, PR","spanish"
"6858","2015-06-07T08:42:48.000","Empleo","PR.CV, PR","spanish"
"6857","2015-06-07T08:30:52.000","Empleo","PR.GL, PR","spanish"
"6856","2015-06-07T08:22:15.000","Licencia de Armas","PR.CD, PR","spanish"
"6855","2015-06-07T08:18:55.000","Empleo","PR.CG, PR","spanish"
"6854","2015-06-07T08:18:43.000","Empleo","PR.CD, PR","spanish"
"6853","2015-06-07T08:03:54.000","Empleo","PR.SJ, PR","spanish"
"6852","2015-06-07T08:03:21.000","Empleo","PR.SL, PR","spanish"
"6851","2015-06-07T08:01:34.000","Empleo","PR.CG, PR","spanish"
"6850","2015-06-07T07:59:31.000","Empleo","PR.NG, PR","spanish"
"6849","2015-06-07T07:47:18.000","Empleo","PR.GL, PR","spanish"
"6848","2015-06-07T07:24:54.000","Empleo","PR.FJ, PR","spanish"
"6847","2015-06-07T07:21:33.000","Estudios","PR.GL, PR","spanish"
"6846","2015-06-07T07:16:08.000","Empleo","PR.SJ, PR","spanish"
"6845","2015-06-07T06:50:46.000","Empleo","PR.CR, PR","spanish"
"6844","2015-06-07T06:49:35.000","Empleo","PR.CY, PR","spanish"
"6843","2015-06-07T06:44:56.000","Estudios","PR.JC, PR","spanish"
"6842","2015-06-07T05:25:04.000","Empleo","PR.SJ, PR","spanish"
"6841","2015-06-07T03:11:48.000","Empleo","PR.CO, PR","spanish"
"6840","2015-06-07T02:41:20.000","Empleo","PR.VB, PR","spanish"
"6839","2015-06-07T01:49:03.000","Empleo","PR.HO, PR","spanish"
"6838","2015-06-07T01:20:47.000","Vivienda","PR.TB, PR","spanish"
"6837","2015-06-07T01:02:09.000","Empleo","PR.AC, PR","spanish"
"6560","2015-06-06T12:57:16.000","Vivienda","PR.SJ, PR","spanish"
"6559","2015-06-06T12:57:15.000","Empleo","PR.SG, PR","spanish"
"6558","2015-06-06T12:54:31.000","Otros...","PR.RG, PR","spanish"
"6557","2015-06-06T12:53:31.000","Empleo","PR.SL, PR","spanish"
"6556","2015-06-06T12:53:02.000","Vivienda","PR.SG, PR","spanish"
"6555","2015-06-06T12:51:12.000","Empleo","PR.CN, PR","spanish"
"6554","2015-06-06T12:49:25.000","Empleo","PR.SJ, PR","spanish"
"6553","2015-06-06T12:47:54.000","Empleo","AL, US","spanish"
"6552","2015-06-06T12:45:58.000","Empleo","PR.SJ, PR","spanish"
"6551","2015-06-06T12:44:27.000","Otros...","PR.SI, PR","spanish"
"6550","2015-06-06T12:42:23.000","Estudios","PR.TJ, PR","spanish"
"6549","2015-06-06T12:38:01.000","Empleo","PR.CN, PR","spanish"
"6548","2015-06-06T12:36:52.000","Empleo","PR.FJ, PR","spanish"
"6547","2015-06-06T12:30:54.000","Empleo","PR.BY, PR","spanish"
"6546","2015-06-06T12:30:02.000","Empleo","PR.CD, PR","spanish"
"6545","2015-06-06T12:27:46.000","Empleo","PR.CN, PR","spanish"
"6544","2015-06-06T12:26:32.000","Estudios","PR.DO, PR","spanish"
"6543","2015-06-06T12:25:37.000","Otros...","PR.CA, PR","spanish"
"6542","2015-06-06T12:24:51.000","Estudios","PR.LZ, PR","spanish"
"6541","2015-06-06T12:23:59.000","Estudios","PR.AD, PR","spanish"
"6540","2015-06-06T12:22:59.000","Empleo","PR.SL, PR","spanish"
"6539","2015-06-06T12:22:44.000","Empleo","PR.BY, PR","spanish"
"6538","2015-06-06T12:22:07.000","Empleo","PR.JC, PR","spanish"
"6537","2015-06-06T12:21:15.000","Empleo","PR.CN, PR","spanish"
"6536","2015-06-06T12:20:28.000","Empleo","PR.PO, PR","spanish"
"6535","2015-06-06T12:19:13.000","Otros...","PR.SJ, PR","spanish"
"6534","2015-06-06T12:19:11.000","Vivienda","PR.SJ, PR","spanish"
"6533","2015-06-06T12:17:11.000","Vivienda","PR.GR, PR","spanish"
"6532","2015-06-06T12:17:11.000","Empleo","PR.HA, PR","spanish"
"6531","2015-06-06T12:15:18.000","Empleo","PR.CN, PR","spanish"
"6530","2015-06-06T12:14:57.000","Otros...","PR.MG, PR","spanish"
"6529","2015-06-06T12:14:45.000","Empleo","PR.JC, PR","spanish"
"6528","2015-06-06T12:14:13.000","Empleo","PR.SJ, PR","spanish"
"6527","2015-06-06T12:14:11.000","Vivienda","PR.GR, PR","spanish"
"6526","2015-06-06T12:13:56.000","Vivienda","PR.SJ, PR","spanish"
"6525","2015-06-06T12:13:51.000","Otros...","PR.LQ, PR","spanish"
"6524","2015-06-06T12:13:26.000","Otros...","PR.YU, PR","spanish"
"6523","2015-06-06T12:08:04.000","Estudios","PR.CD, PR","spanish"
"6522","2015-06-06T12:07:29.000","Estudios","PR.GB, PR","spanish"
"6521","2015-06-06T12:07:15.000","Otros...","PR.MV, PR","spanish"
"6520","2015-06-06T12:06:08.000","Empleo","PR.PO, PR","spanish"
"6519","2015-06-06T12:03:54.000","Empleo","PR.YU, PR","spanish"
"6518","2015-06-06T12:03:37.000","Otros...","PR.MG, PR","spanish"
"6517","2015-06-06T12:03:18.000","Empleo","PR.SJ, PR","spanish"
"6516","2015-06-06T12:02:17.000","Otros...","PR.MV, PR","spanish"
"6515","2015-06-06T12:01:38.000","Licencia de Armas","PR.CD, PR","spanish"
"6514","2015-06-06T12:00:54.000","Otros...","PR.MG, PR","spanish"
"6513","2015-06-06T11:59:30.000","Estudios","PR.SJ, PR","spanish"
"6512","2015-06-06T11:58:53.000","Empleo","PR.PO, PR","spanish"
"6511","2015-06-06T11:58:24.000","Empleo","PR.CD, PR","spanish"
"6510","2015-06-06T11:58:08.000","Estudios","PR.SJ, PR","spanish"
"6509","2015-06-06T11:55:07.000","Empleo","PR.CD, PR","spanish"
"6508","2015-06-06T11:54:45.000","Estudios","PR.SB, PR","spanish"
"6507","2015-06-06T11:54:39.000","Otros...","PR.MG, PR","spanish"
"6506","2015-06-06T11:52:38.000","Empleo","PR.PO, PR","spanish"
"6505","2015-06-06T11:52:13.000","Otros...","PR.MG, PR","spanish"
"6504","2015-06-06T11:51:31.000","Vivienda","PR.CG, PR","spanish"
"6503","2015-06-06T11:50:07.000","Otros...","PR.UT, PR","spanish"
"6502","2015-06-06T11:49:57.000","Otros...","PR.MG, PR","spanish"
"6501","2015-06-06T11:48:47.000","Licencia de Armas","PR.CD, PR","spanish"
"6500","2015-06-06T11:48:07.000","Otros...","PR.CG, PR","spanish"
"6499","2015-06-06T11:46:53.000","Vivienda","PR.AC, PR","spanish"
"6498","2015-06-06T11:45:26.000","Empleo","PR.CZ, PR","spanish"
"6497","2015-06-06T11:44:43.000","Empleo","PR.CO, PR","spanish"
"6496","2015-06-06T11:44:41.000","Estudios","PR.SJ, PR","spanish"
"6495","2015-06-06T11:44:36.000","Empleo","PR.SJ, PR","spanish"
"6494","2015-06-06T11:44:16.000","Otros...","PR.MG, PR","spanish"
"6493","2015-06-06T11:43:39.000","Estudios","PR.CV, PR","spanish"
"6492","2015-06-06T11:42:51.000","Estudios","PR.GB, PR","spanish"
"6491","2015-06-06T11:42:41.000","Estudios","PR.AC, PR","spanish"
"6490","2015-06-06T11:41:40.000","Estudios","PR.TB, PR","spanish"
"6489","2015-06-06T11:41:31.000","Empleo","PR.CO, PR","spanish"
"6488","2015-06-06T11:40:27.000","Otros...","PR.MG, PR","spanish"
"6487","2015-06-06T11:40:11.000","Otros...","PR.UT, PR","spanish"
"6486","2015-06-06T11:39:06.000","Estudios","PR.TB, PR","spanish"
"6485","2015-06-06T11:36:07.000","Otros...","PR.MG, PR","spanish"
"6484","2015-06-06T11:35:39.000","Vivienda","PR.MG, PR","spanish"
"6483","2015-06-06T11:32:58.000","Estudios","PR.TB, PR","spanish"
"6482","2015-06-06T11:31:19.000","Vivienda","PR.MG, PR","spanish"
"6481","2015-06-06T11:30:09.000","Empleo","PR.CD, PR","spanish"
"6480","2015-06-06T11:29:18.000","Otros...","PR.HU, PR","spanish"
"6479","2015-06-06T11:27:33.000","Empleo","PR.AB, PR","spanish"
"6478","2015-06-06T11:23:55.000","Estudios","PR.GB, PR","spanish"
"6477","2015-06-06T11:23:31.000","Licencia de Armas","PR.CD, PR","spanish"
"6476","2015-06-06T11:23:15.000","Empleo","PR.GB, PR","spanish"
"6475","2015-06-06T11:23:07.000","Otros...","PR.CY, PR","spanish"
"6474","2015-06-06T11:21:35.000","Empleo","PR.GB, PR","spanish"
"6473","2015-06-06T11:20:56.000","Estudios","PR.BY, PR","spanish"
"6472","2015-06-06T11:18:59.000","Empleo","PR.GB, PR","spanish"
"6471","2015-06-06T11:15:47.000","Empleo","PR.AB, PR","spanish"
"6470","2015-06-06T11:15:29.000","Estudios","PR.TB, PR","spanish"
"6469","2015-06-06T11:13:49.000","Empleo","PR.GM, PR","spanish"
"6468","2015-06-06T11:12:24.000","Empleo","PR.GB, PR","spanish"
"6467","2015-06-06T11:11:28.000","Empleo","PR.MG, PR","spanish"
"6466","2015-06-06T11:11:15.000","Empleo","PR.HO, PR","spanish"
"6465","2015-06-06T11:09:08.000","Empleo","PR.MG, PR","spanish"
"6464","2015-06-06T11:08:00.000","Empleo","PR.GM, PR","spanish"
"6463","2015-06-06T11:06:43.000","Empleo","PR.BY, PR","spanish"
"6462","2015-06-06T11:06:40.000","Empleo","PR.CZ, PR","spanish"
"6461","2015-06-06T11:06:27.000","Otros...","PR.LR, PR","spanish"
"6460","2015-06-06T11:06:01.000","Empleo","PR.RC, PR","spanish"
"6459","2015-06-06T11:04:59.000","Empleo","PR.SS, PR","spanish"
"6458","2015-06-06T11:04:42.000","Empleo","PR.BY, PR","spanish"
"6457","2015-06-06T11:00:59.000","Vivienda","PR.SJ, PR","spanish"
"6456","2015-06-06T11:00:50.000","Otros...","PR.VB, PR","spanish"
"6455","2015-06-06T11:00:13.000","Empleo","PR.CR, PR","spanish"
"6454","2015-06-06T10:58:23.000","Otros...","PR.CL, PR","spanish"
"6453","2015-06-06T10:58:12.000","Vivienda","PR.CN, PR","spanish"
"6452","2015-06-06T10:57:19.000","Empleo","PR.PO, PR","spanish"
"6451","2015-06-06T10:56:16.000","Estudios","PR.GB, PR","spanish"
"6450","2015-06-06T10:53:18.000","Otros...","PR.CN, PR","spanish"
"6449","2015-06-06T10:51:49.000","Empleo","PR.CN, PR","spanish"
"6448","2015-06-06T10:50:40.000","Vivienda","PR.BY, PR","spanish"
"6447","2015-06-06T10:50:16.000","Empleo","PR.HO, PR","spanish"
"6446","2015-06-06T10:49:23.000","Empleo","PR.GM, PR","spanish"
"6445","2015-06-06T10:48:11.000","Empleo","PR.SJ, PR","spanish"
"6444","2015-06-06T10:44:01.000","Empleo","PR.CN, PR","spanish"
"6443","2015-06-06T10:42:33.000","Empleo","PR.MG, PR","spanish"
"6442","2015-06-06T10:40:37.000","Empleo","PR.MT, PR","spanish"
"6441","2015-06-06T10:39:37.000","Empleo","PR.GM, PR","spanish"
"6440","2015-06-06T10:39:09.000","Otros...","PR.AC, PR","spanish"
"6439","2015-06-06T10:36:00.000","Empleo","PR.MG, PR","spanish"
"6438","2015-06-06T10:33:57.000","Empleo","PR.GR, PR","spanish"
"6437","2015-06-06T10:33:50.000","Empleo","PR.TA, PR","spanish"
"6436","2015-06-06T10:33:21.000","Empleo","PR.CN, PR","spanish"
"6435","2015-06-06T10:30:49.000","Pasaporte o Visa","PR.CT, PR","spanish"
"6434","2015-06-06T10:27:58.000","Empleo","PR.AB, PR","spanish"
"6433","2015-06-06T10:27:23.000","Empleo","PR.MG, PR","spanish"
"6432","2015-06-06T10:26:57.000","Empleo","PR.CA, PR","spanish"
"6431","2015-06-06T10:25:54.000","Empleo","PR.SL, PR","spanish"
"6430","2015-06-06T10:25:17.000","Estudios","PR.SJ, PR","spanish"
"6429","2015-06-06T10:24:43.000","Empleo","PR.AC, PR","spanish"
"6428","2015-06-06T10:22:27.000","Empleo","PR.PN, PR","spanish"
"6427","2015-06-06T10:21:56.000","Empleo","PR.BY, PR","spanish"
"6426","2015-06-06T10:19:55.000","Otros...","PR.GR, PR","spanish"
"6425","2015-06-06T10:18:54.000","Empleo","PR.SJ, PR","spanish"
"6424","2015-06-06T10:17:42.000","Patentes o Franquicias","PR.BY, PR","spanish"
"6423","2015-06-06T10:13:43.000","Vivienda","PR.SJ, PR","spanish"
"6422","2015-06-06T10:13:34.000","Vivienda","PR.VB, PR","spanish"
"6421","2015-06-06T10:12:45.000","Otros...","PR.TJ, PR","spanish"
"6420","2015-06-06T10:07:11.000","Empleo","PR.CB, PR","spanish"
"6419","2015-06-06T10:05:46.000","Vivienda","PR.BC, PR","spanish"
"6418","2015-06-06T10:05:40.000","Licencia de Armas","PR.CN, PR","spanish"
"6417","2015-06-06T10:05:09.000","Empleo","PR.CB, PR","spanish"
"6416","2015-06-06T10:03:12.000","Otros...","UM","spanish"
"6415","2015-06-06T10:01:21.000","Otros...","PR.CL, PR","spanish"
"6414","2015-06-06T10:01:03.000","Empleo","PR.SJ, PR","spanish"
"6413","2015-06-06T10:00:29.000","Empleo","PR.SG, PR","spanish"
"6412","2015-06-06T09:59:00.000","Empleo","PR.SJ, PR","spanish"
"6411","2015-06-06T09:56:17.000","Empleo","PR.BY, PR","spanish"
"6410","2015-06-06T09:55:10.000","Patentes o Franquicias","PR.TJ, PR","spanish"
"6409","2015-06-06T09:54:42.000","Estudios","PR.BC, PR","spanish"
"6408","2015-06-06T09:50:56.000","Empleo","PR.TJ, PR","spanish"
"6407","2015-06-06T09:47:09.000","Empleo","PR.CB, PR","spanish"
"6406","2015-06-06T09:45:47.000","Otros...","PR.HU, PR","spanish"
"6405","2015-06-06T09:36:47.000","Otros...","PR.MT, PR","spanish"
"6404","2015-06-06T09:28:17.000","Empleo","PR.CB, PR","spanish"
"6403","2015-06-06T09:27:29.000","Empleo","PR.MT, PR","spanish"
"6402","2015-06-06T09:26:27.000","Estudios","PR.CG, PR","spanish"
"6401","2015-06-06T09:24:12.000","Empleo","PR.BQ, PR","spanish"
"6400","2015-06-06T09:21:24.000","Empleo","PR.BY, PR","spanish"
"6399","2015-06-06T09:19:47.000","Otros...","PR.GM, PR","spanish"
"6398","2015-06-06T09:14:52.000","Empleo","PR.GC, PR","spanish"
"6397","2015-06-06T09:13:41.000","Empleo","PR.CG, PR","spanish"
"6396","2015-06-06T09:10:33.000","Empleo","PR.PO, PR","spanish"
"6395","2015-06-06T09:10:25.000","Empleo","PR.DO, PR","spanish"
"6394","2015-06-06T09:06:45.000","Empleo","PR.PO, PR","spanish"
"6393","2015-06-06T09:04:50.000","Empleo","PR.SJ, PR","spanish"
"6392","2015-06-06T09:02:28.000","Empleo","PR.PO, PR","spanish"
"6391","2015-06-06T09:00:59.000","Empleo","PR.AL, PR","spanish"
"6390","2015-06-06T08:59:06.000","Empleo","PR.YB, PR","spanish"
"6389","2015-06-06T08:55:05.000","Empleo","PR.TJ, PR","spanish"
"6388","2015-06-06T08:54:38.000","Empleo","PR.BY, PR","spanish"
"6387","2015-06-06T08:53:03.000","Empleo","PR.BY, PR","spanish"
"6386","2015-06-06T08:51:58.000","Empleo","PR.YB, PR","spanish"
"6385","2015-06-06T08:50:35.000","Licencia de Armas","PR.TJ, PR","spanish"
"6384","2015-06-06T08:50:25.000","Empleo","PR.DO, PR","spanish"
"6383","2015-06-06T08:48:58.000","Empleo","PR.BY, PR","spanish"
"6382","2015-06-06T08:42:42.000","Otros...","PR.LZ, PR","spanish"
"6381","2015-06-06T08:42:29.000","Empleo","PR.GB, PR","spanish"
"6380","2015-06-06T08:38:09.000","Estudios","PR.YB, PR","spanish"
"6379","2015-06-06T08:29:17.000","Empleo","PR.TJ, PR","spanish"
"6378","2015-06-06T08:21:08.000","Empleo","PR.GB, PR","spanish"
"6377","2015-06-06T08:21:07.000","Empleo","PR.MG, PR","spanish"
"6376","2015-06-06T08:17:07.000","Residencia","PR.AC, PR","spanish"
"6375","2015-06-06T08:15:19.000","Estudios","PR.CG, PR","spanish"
"6374","2015-06-06T08:12:53.000","Empleo","PR.GL, PR","spanish"
"6373","2015-06-06T08:05:31.000","Empleo","PR.CV, PR","spanish"
"6372","2015-06-06T08:03:09.000","Otros...","PR.CT, PR","spanish"
"6371","2015-06-06T08:01:48.000","Empleo","PR.JC, PR","spanish"
"6370","2015-06-06T07:59:36.000","Empleo","PR.SJ, PR","spanish"
"6369","2015-06-06T07:58:42.000","Empleo","PR.BQ, PR","spanish"
"6368","2015-06-06T07:57:02.000","Vivienda","PR.MT, PR","spanish"
"6367","2015-06-06T07:56:17.000","Empleo","PR.BY, PR","spanish"
"6366","2015-06-06T07:56:17.000","Empleo","PR.CV, PR","spanish"
"6365","2015-06-06T07:53:55.000","Estudios","PR.TJ, PR","spanish"
"6364","2015-06-06T07:52:44.000","Empleo","PR.GB, PR","spanish"
"6363","2015-06-06T07:52:31.000","Empleo","PR.SJ, PR","spanish"
"6362","2015-06-06T07:51:54.000","Otros...","PR.BY, PR","spanish"
"6361","2015-06-06T07:49:46.000","Empleo","PR.SJ, PR","spanish"
