"municipio_escolar","municipio_location","autismo","da_o_cerebral_por_trauma","disturbios_emocionales","impedimentos_m_ltiples","impedimentos_visuales","otros_problemas_de_salud","problemas_auditivos","problemas_de_habla_y_lenguaje","problemas_espec_ficos_de_aprendizaje","problemas_ortop_dicos","deficiencia_intelectual","retraso_en_el_desarrollo","sordo_ciego","total","a_o_escolar","pueblo"
"PATILLAS","
PATILLAS, PR 
(18.00562001500043, -66.01636000899964)","6",,"4","9","5","21","3","329","286","1","75",,,"739","2011-01-01T00:00:00.000","PATILLAS"
"PATILLAS","
PATILLAS, PR 
(18.00562001500043, -66.01636000899964)","14",,"4","4","2","25","3","299","256","1","41",,,"649","2014-01-01T00:00:00.000","PATILLAS"
"PATILLAS","
PATILLAS, PR 
(18.00562001500043, -66.01636000899964)","18",,"2","6","2","25","4","240","334","1","63",,,"695","2013-01-01T00:00:00.000","PATILLAS"
"PATILLAS","
PATILLAS, PR 
(18.00562001500043, -66.01636000899964)","9",,"3","10","2","24","3","315","305",,"73",,,"744","2012-01-01T00:00:00.000","PATILLAS"
"PEÑUELAS","
PEÑUELAS, PR 
(18.057688, -66.722172)","6",,"16","7","1","33","8","284","458","1","94",,,"908","2012-01-01T00:00:00.000","PEÑUELAS"
"PEÑUELAS","
PEÑUELAS, PR 
(18.057688, -66.722172)","7","1","9","8","1","24","8","262","414","1","100",,,"835","2011-01-01T00:00:00.000","PEÑUELAS"
"PEÑUELAS","
PEÑUELAS, PR 
(18.057688, -66.722172)","3",,"8","8","1","35","6","385","418",,"63",,,"927","2014-01-01T00:00:00.000","PEÑUELAS"
"PEÑUELAS","
PEÑUELAS, PR 
(18.057688, -66.722172)","12",,"12","9","2","34","8","288","538",,"94",,,"997","2013-01-01T00:00:00.000","PEÑUELAS"
"PONCE I","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","105","1","51","22","8","183","8","1082","1064","3","172",,,"2699","2014-01-01T00:00:00.000","PONCE"
"PONCE II","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","55","1","52","31","20","119","14","1072","1037","10","123","1",,"2535","2011-01-01T00:00:00.000","PONCE"
"PONCE III","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","47","1","36","13","13","168","6","872","1278","8","135",,,"2577","2013-01-01T00:00:00.000","PONCE"
"PONCE III","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","25",,"40","7","7","143","6","896","879","5","73",,,"2081","2014-01-01T00:00:00.000","PONCE"
"PONCE I","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","89","1","45","15","8","187","10","1011","1304","5","212",,,"2887","2013-01-01T00:00:00.000","PONCE"
"PONCE II","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","87",,"37","10","9","116","7","943","1018","6","91",,,"2324","2013-01-01T00:00:00.000","PONCE"
"PONCE I","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","68","3","53","11","10","144","36","906","1260","4","240",,,"2735","2011-01-01T00:00:00.000","PONCE"
"PONCE III","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","19",,"65","16","7","84","14","782","1102","13","191",,"1","2294","2011-01-01T00:00:00.000","PONCE"
"PONCE III","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","25",,"45","11","6","115","11","772","1038","7","134",,"1","2165","2012-01-01T00:00:00.000","PONCE"
"PONCE II","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","47","1","37","29","14","118","13","1147","983","5","99",,,"2493","2012-01-01T00:00:00.000","PONCE"
"PONCE II","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","41",,"35","5","11","142","4","1163","864","4","53",,,"2322","2014-01-01T00:00:00.000","PONCE"
"PONCE I","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","76","1","51","13","8","160","38","880","1163","2","228",,,"2620","2012-01-01T00:00:00.000","PONCE"
"QUEBRADILLAS","
QUEBRADILLAS, PR 
(18.47400998900042, -66.93762999699965)","14","1","44","6","5","155","4","375","549","4","30",,,"1187","2014-01-01T00:00:00.000","QUEBRADILLAS"
"QUEBRADILLAS","
QUEBRADILLAS, PR 
(18.47400998900042, -66.93762999699965)","11","1","12","3","6","54","4","255","500","4","52",,,"902","2011-01-01T00:00:00.000","QUEBRADILLAS"
"QUEBRADILLAS","
QUEBRADILLAS, PR 
(18.47400998900042, -66.93762999699965)","12","2","28","2","7","85","3","336","582","4","54",,"1","1116","2012-01-01T00:00:00.000","QUEBRADILLAS"
"QUEBRADILLAS","
QUEBRADILLAS, PR 
(18.47400998900042, -66.93762999699965)","13","2","28","4","8","108","4","351","548","6","47",,,"1119","2013-01-01T00:00:00.000","QUEBRADILLAS"
"RINCON","
RINCON, PR 
(18.340189990000454, -67.25041999199965)","9",,"8","3","2","97","4","125","261","2","54",,,"565","2012-01-01T00:00:00.000","RINCON"
"RINCON","
RINCON, PR 
(18.340189990000454, -67.25041999199965)","5",,"5","4","2","105","1","146","214","1","45",,,"528","2014-01-01T00:00:00.000","RINCON"
"RINCÓN","
RINCON, PR 
(18.340189990000454, -67.25041999199965)","6",,"8","2",,"73","4","116","292","2","52",,"1","556","2011-01-01T00:00:00.000","RINCON"
"Rincón","
RINCON, PR 
(18.340189990000454, -67.25041999199965)","6",,"6","3","3","111","2","115","233","1","46",,,"526","2013-01-01T00:00:00.000","RINCON"
"Río Grande","
RIO GRANDE, PR 
(18.36151998200046, -67.23753999099966)","41",,"6","18","3","68","4","441","776","4","100",,,"1461","2013-01-01T00:00:00.000","RIO GRANDE"
"RIO GRANDE","
RIO GRANDE, PR 
(18.36151998200046, -67.23753999099966)","22",,"8","16","4","82","3","487","632","1","69",,,"1324","2014-01-01T00:00:00.000","RIO GRANDE"
"RIO GRANDE","
RIO GRANDE, PR 
(18.36151998200046, -67.23753999099966)","35",,"7","17","2","73","6","491","706","4","95",,"1","1437","2012-01-01T00:00:00.000","RIO GRANDE"
"RÍO GRANDE","
RIO GRANDE, PR 
(18.36151998200046, -67.23753999099966)","31",,"7","20","2","55","6","435","715","5","119",,,"1395","2011-01-01T00:00:00.000","RIO GRANDE"
"SABANA GRANDE","
SABANA GRANDE, PR 
(18.078060005000452, -66.96184998799964)","9","2","17","9","5","79","10","304","687","5","85",,,"1212","2011-01-01T00:00:00.000","SABANA GRANDE"
"SABANA GRANDE","
SABANA GRANDE, PR 
(18.078060005000452, -66.96184998799964)","8","1","11","4","4","98","2","345","484","3","49",,"1","1010","2014-01-01T00:00:00.000","SABANA GRANDE"
"SABANA GRANDE","
SABANA GRANDE, PR 
(18.078060005000452, -66.96184998799964)","19","2","23","10","6","132","5","443","831","5","94",,,"1570","2013-01-01T00:00:00.000","SABANA GRANDE"
"SABANA GRANDE","
SABANA GRANDE, PR 
(18.078060005000452, -66.96184998799964)","11","2","16","7","3","100","8","361","695","6","76",,,"1285","2012-01-01T00:00:00.000","SABANA GRANDE"
"SALINAS","
SALINAS, PR 
(17.98250001700046, -66.29473999499965)","29",,"24","12","10","192","7","295","655","3","72",,,"1299","2013-01-01T00:00:00.000","SALINAS"
"SALINAS","
SALINAS, PR 
(17.98250001700046, -66.29473999499965)","24",,"19","15","9","174","5","302","483","3","65",,,"1099","2012-01-01T00:00:00.000","SALINAS"
"SALINAS","
SALINAS, PR 
(17.98250001700046, -66.29473999499965)","29",,"23","12","2","227","3","341","469","2","51",,,"1159","2014-01-01T00:00:00.000","SALINAS"
"SALINAS","
SALINAS, PR 
(17.98250001700046, -66.29473999499965)","12",,"23","16","10","165","6","358","499","4","83",,,"1176","2011-01-01T00:00:00.000","SALINAS"
"SAN GERMAN","
SAN GERMAN, PR 
(18.08132000100045, -67.04160998799966)","16",,"22","13","13","130","15","434","650","8","93",,,"1394","2012-01-01T00:00:00.000","SAN GERMAN"
"SAN GERMAN","
SAN GERMAN, PR 
(18.08132000100045, -67.04160998799966)","24",,"18","15","12","137","9","394","506","10","55",,,"1180","2014-01-01T00:00:00.000","SAN GERMAN"
"SAN GERMÁN","
SAN GERMAN, PR 
(18.08132000100045, -67.04160998799966)","14",,"19","12","10","98","14","406","655","9","107",,,"1344","2011-01-01T00:00:00.000","SAN GERMAN"
"San Germán","
SAN GERMAN, PR 
(18.08132000100045, -67.04160998799966)","29",,"20","16","15","128","15","391","693","8","113",,,"1428","2013-01-01T00:00:00.000","SAN GERMAN"
"SAN JUAN IV","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","62","3","10","12","4","247","23","561","962","12","87",,"1","1984","2012-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN I","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","48","1","16","43","42","151","9","365","1109","2","138","2","6","1932","2011-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN III","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","37","2","17","3","7","259","2","329","946","4","75",,,"1681","2013-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN IV","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","47","1","14","14",,"206","30","467","1198","17","101",,"1","2096","2011-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN III","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","86","1","15","6","7","337","8","653","742","3","62","1",,"1921","2014-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN IV","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","71","2","17","20","6","340","24","523","1240","10","86",,,"2339","2013-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN IV","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","63","2","4","10","3","330","20","592","765","6","67",,,"1862","2014-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN III","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","98","2","10","8","7","268","23","563","993","4","99","1",,"2076","2012-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN I","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","120","2","53","59","34","401","22","1271","1510","7","227",,"1","3707","2013-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN III","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","85","1","14","7","5","176","16","417","938","3","95",,"1","1758","2011-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN I","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","68",,"19","19","16","316","7","525","716","4","73",,"1","1764","2014-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN V","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","50","1","10","11","2","355","5","623","520","1","48",,,"1626","2014-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN II","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","88","1","9","87","9","307","62","642","871","8","376",,"1","2461","2012-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN II","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","91","2","12","80","8","397","9","668","711","7","320",,"2","2307","2014-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN V","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","41","1","11","12","2","229","5","554","686","8","80",,"1","1630","2011-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN I","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","67","1","24","32","31","207","9","425","885","2","127","1",,"1811","2012-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN V","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","51","1","9","12","3","327","7","569","566","3","54",,,"1602","2013-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN II","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","76","1","10","83","6","300","85","599","958","9","399","2",,"2528","2011-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN V","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","51","1","16","13","2","335","9","649","657","3","70",,,"1806","2012-01-01T00:00:00.000","SAN JUAN"
"SAN JUAN II","
SAN JUAN, PR 
(18.46632997800043, -66.10474000399967)","81","1","8","93","5","272","12","430","663","5","340",,"1","1911","2013-01-01T00:00:00.000","SAN JUAN"
"SAN LORENZO","
SAN LORENZO, PR 
(18.190280024000458, -65.96230000999964)","40",,"11","13","9","86","2","426","680","5","74",,"1","1347","2013-01-01T00:00:00.000","SAN LORENZO"
"SAN LORENZO","
SAN LORENZO, PR 
(18.190280024000458, -65.96230000999964)","37",,"10","19","4","87","1","479","535","4","52",,,"1228","2014-01-01T00:00:00.000","SAN LORENZO"
"SAN LORENZO","
SAN LORENZO, PR 
(18.190280024000458, -65.96230000999964)","29",,"12","19","3","67","3","450","586","4","86",,,"1259","2011-01-01T00:00:00.000","SAN LORENZO"
"SAN LORENZO","
SAN LORENZO, PR 
(18.190280024000458, -65.96230000999964)","34",,"13","20","5","79","1","448","564","4","80",,,"1248","2012-01-01T00:00:00.000","SAN LORENZO"
"SAN SEBASTIÁN","
SAN SEBASTIAN, PR 
(18.336829986000453, -66.99013998899966)","26",,"26","13","6","129","8","474","793","3","159",,,"1637","2011-01-01T00:00:00.000","SAN SEBASTIAN"
"San Sebastián","
SAN SEBASTIAN, PR 
(18.336829986000453, -66.99013998899966)","43",,"22","14","7","136","10","481","864","6","168",,,"1751","2013-01-01T00:00:00.000","SAN SEBASTIAN"
"SAN SEBASTIAN","
SAN SEBASTIAN, PR 
(18.336829986000453, -66.99013998899966)","29",,"10","12","7","151","11","499","750","7","121",,,"1597","2014-01-01T00:00:00.000","SAN SEBASTIAN"
"SAN SEBASTIAN","
SAN SEBASTIAN, PR 
(18.336829986000453, -66.99013998899966)","35",,"26","13","5","143","9","511","814","5","154",,,"1715","2012-01-01T00:00:00.000","SAN SEBASTIAN"
"SANTA ISABEL","
SANTA ISABEL, PR 
(17.969170003000443, -66.40393999299965)","11","1","12","3","3","9","4","246","376","3","95",,,"763","2012-01-01T00:00:00.000","SANTA ISABEL"
"SANTA ISABEL","
SANTA ISABEL, PR 
(17.969170003000443, -66.40393999299965)","9","2","12","3","4","7","4","147","330","2","101",,,"621","2011-01-01T00:00:00.000","SANTA ISABEL"
"SANTA ISABEL","
SANTA ISABEL, PR 
(17.969170003000443, -66.40393999299965)","14",,"7","3","1","18","5","322","332","2","59",,,"763","2014-01-01T00:00:00.000","SANTA ISABEL"
"SANTA ISABEL","
SANTA ISABEL, PR 
(17.969170003000443, -66.40393999299965)","6",,"5","3","1","13","4","232","315","2","66",,,"647","2013-01-01T00:00:00.000","SANTA ISABEL"
"TOA ALTA","
TOA ALTA, PR 
(18.388359985000477, -66.24836000699963)","38",,"15","30","9","213","9","713","1027","5","61",,,"2120","2013-01-01T00:00:00.000","TOA ALTA"
"TOA ALTA","
TOA ALTA, PR 
(18.388359985000477, -66.24836000699963)","37","1","15","18","9","211","6","822","853","6","46",,,"2024","2014-01-01T00:00:00.000","TOA ALTA"
"TOA ALTA","
TOA ALTA, PR 
(18.388359985000477, -66.24836000699963)","29","1","18","31","14","195","8","658","1001","9","69",,"3","2036","2011-01-01T00:00:00.000","TOA ALTA"
"TOA ALTA","
TOA ALTA, PR 
(18.388359985000477, -66.24836000699963)","34","1","19","30","15","215","8","764","1147","10","72",,"2","2317","2012-01-01T00:00:00.000","TOA ALTA"
"TOA BAJA","
TOA BAJA, PR 
(18.442469988000425, -66.25353000999962)","57","1","15","18","4","197","11","954","1186","7","122",,,"2572","2013-01-01T00:00:00.000","TOA BAJA"
"TOA BAJA","
TOA BAJA, PR 
(18.442469988000425, -66.25353000999962)","53","2","22","20","2","239","13","806","1313","15","136",,,"2621","2011-01-01T00:00:00.000","TOA BAJA"
"TOA BAJA","
TOA BAJA, PR 
(18.442469988000425, -66.25353000999962)","73",,"14","16","3","298","14","1216","1119","8","99",,,"2860","2014-01-01T00:00:00.000","TOA BAJA"
"TOA BAJA","
TOA BAJA, PR 
(18.442469988000425, -66.25353000999962)","65",,"18","18","5","269","12","1022","1262","12","119",,,"2802","2012-01-01T00:00:00.000","TOA BAJA"
"TRUJILLO ALTO","
TRUJILLO ALTO, PR 
(18.35556997800046, -66.00495002199966)","46","1","12","8","2","170","5","413","592","2","61",,,"1312","2011-01-01T00:00:00.000","TRUJILLO ALTO"
"TRUJILLO ALTO","
TRUJILLO ALTO, PR 
(18.35556997800046, -66.00495002199966)","62","1","9","18","3","257","11","437","597","3","58",,,"1456","2012-01-01T00:00:00.000","TRUJILLO ALTO"
"TRUJILLO ALTO","
TRUJILLO ALTO, PR 
(18.35556997800046, -66.00495002199966)","67",,"6","7","3","271","9","423","482","2","27",,,"1297","2013-01-01T00:00:00.000","TRUJILLO ALTO"
"TRUJILLO ALTO","
TRUJILLO ALTO, PR 
(18.35556997800046, -66.00495002199966)","54",,"14","7",,"340","11","484","492","2","35","1",,"1440","2014-01-01T00:00:00.000","TRUJILLO ALTO"
"UTUADO","
UTUADO, PR 
(18.266249998000433, -66.70459997699965)","18",,"13","19","4","87","7","353","531","8","74",,,"1114","2014-01-01T00:00:00.000","UTUADO"
"Utuado","
UTUADO, PR 
(18.266249998000433, -66.70459997699965)","15",,"9","22","6","45","9","314","616","7","122",,,"1165","2011-01-01T00:00:00.000","UTUADO"
"UTUADO","
UTUADO, PR 
(18.266249998000433, -66.70459997699965)","13",,"9","9","5","77","7","312","533","4","61",,,"1030","2013-01-01T00:00:00.000","UTUADO"
"UTUADO","
UTUADO, PR 
(18.266249998000433, -66.70459997699965)","15",,"10","18","7","63","7","318","592","6","109",,,"1145","2012-01-01T00:00:00.000","UTUADO"
"VEGA ALTA","
VEGA ALTA, PR 
(18.412209980000455, -66.33177998699966)","26",,"10","24","2","135","3","318","624","5","78",,,"1225","2011-01-01T00:00:00.000","VEGA ALTA"
"VEGA ALTA","
VEGA ALTA, PR 
(18.412209980000455, -66.33177998699966)","23",,"15","9","7","134","4","358","626","3","53",,"1","1233","2013-01-01T00:00:00.000","VEGA ALTA"
"VEGA ALTA","
VEGA ALTA, PR 
(18.412209980000455, -66.33177998699966)","40",,"7","25","5","189","6","484","567","3","60",,"1","1387","2014-01-01T00:00:00.000","VEGA ALTA"
"VEGA ALTA","
VEGA ALTA, PR 
(18.412209980000455, -66.33177998699966)","31",,"9","25","3","146","3","413","653","5","75",,,"1363","2012-01-01T00:00:00.000","VEGA ALTA"
"VEGA BAJA","
VEGA BAJA, PR 
(18.446009992000427, -66.38754999999964)","59","2","24","13","8","314","10","691","623","16","153",,"1","1914","2014-01-01T00:00:00.000","VEGA BAJA"
"VEGA BAJA","
VEGA BAJA, PR 
(18.446009992000427, -66.38754999999964)","64","2","21","20","7","260","14","598","775","18","201",,,"1980","2012-01-01T00:00:00.000","VEGA BAJA"
"VEGA BAJA","
VEGA BAJA, PR 
(18.446009992000427, -66.38754999999964)","59","1","19","20","11","228","15","561","703","20","211",,,"1848","2011-01-01T00:00:00.000","VEGA BAJA"
"VEGA BAJA","
VEGA BAJA, PR 
(18.446009992000427, -66.38754999999964)","74","2","23","17","14","246","12","601","778","17","192",,"1","1977","2013-01-01T00:00:00.000","VEGA BAJA"
"VIEQUES","
VIEQUES, PR 
(18.148580017000427, -65.44210000399966)","1","1","2","1","1","17","1","52","126",,"24",,,"226","2011-01-01T00:00:00.000","VIEQUES"
"VIEQUES","
VIEQUES, PR 
(18.148580017000427, -65.44210000399966)","1","1","2","1",,"15","1","71","136",,"13",,,"241","2012-01-01T00:00:00.000","VIEQUES"
"VIEQUES","
VIEQUES, PR 
(18.148580017000427, -65.44210000399966)","3","1","2","1",,"14",,"73","119","1","13",,,"227","2014-01-01T00:00:00.000","VIEQUES"
"VIEQUES","
VIEQUES, PR 
(18.148580017000427, -65.44210000399966)","2","1","3","1",,"12","1","66","140","1","12",,,"239","2013-01-01T00:00:00.000","VIEQUES"
"VILLALBA","
VILLALBA, PR 
(18.128250011000432, -66.49427999899962)","12",,"12","8","11","52","18","302","620","3","121",,"2","1161","2011-01-01T00:00:00.000","VILLALBA"
"VILLALBA","
VILLALBA, PR 
(18.128250011000432, -66.49427999899962)","21",,"18","3","10","75","16","282","702","1","96",,,"1224","2013-01-01T00:00:00.000","VILLALBA"
"VILLALBA","
VILLALBA, PR 
(18.128250011000432, -66.49427999899962)","15",,"14","7","9","61","17","326","646","2","98",,"2","1197","2012-01-01T00:00:00.000","VILLALBA"
"VILLALBA","
VILLALBA, PR 
(18.128250011000432, -66.49427999899962)","18","1","12","4","4","92","8","338","593",,"83",,"1","1154","2014-01-01T00:00:00.000","VILLALBA"
"YABUCOA","
YABUCOA, PR 
(18.046540020000464, -65.87727002399964)","34","1","11","10","3","41","5","490","600",,"88",,,"1283","2013-01-01T00:00:00.000","YABUCOA"
"YABUCOA","
YABUCOA, PR 
(18.046540020000464, -65.87727002399964)","37",,"8","8","3","37","4","509","559",,"67",,,"1232","2014-01-01T00:00:00.000","YABUCOA"
"YABUCOA","
YABUCOA, PR 
(18.046540020000464, -65.87727002399964)","24",,"2","9","2","30","7","481","512","1","93",,"1","1162","2011-01-01T00:00:00.000","YABUCOA"
"YABUCOA","
YABUCOA, PR 
(18.046540020000464, -65.87727002399964)","29",,"3","11","3","30","7","484","571",,"79",,,"1217","2012-01-01T00:00:00.000","YABUCOA"
"YAUCO","
YAUCO, PR 
(18.033410023000442, -66.84844998399961)","29",,"5","11","11","164","10","559","640","11","95",,"1","1536","2014-01-01T00:00:00.000","YAUCO"
"YAUCO","
YAUCO, PR 
(18.033410023000442, -66.84844998399961)","26","1","14","11","9","171","8","511","697","9","119",,,"1576","2012-01-01T00:00:00.000","YAUCO"
"YAUCO","
YAUCO, PR 
(18.033410023000442, -66.84844998399961)","24","1","15","10","10","166","8","485","679","11","128","1","1","1539","2011-01-01T00:00:00.000","YAUCO"
"YAUCO","
YAUCO, PR 
(18.033410023000442, -66.84844998399961)","35",,"15","13","10","205","5","639","771","9","118",,,"1820","2013-01-01T00:00:00.000","YAUCO"
