"municipio","pais","residencia_de_la_contrayente_2013","residencia_del_contrayente_2013","location"
"Hormigueros","Puerto Rico","60","65","
Hormigueros, Puerto Rico 
(18.14104002400046, -67.12240998099963)"
"Aguada","Puerto Rico","201","242","
Aguada, Puerto Rico 
(18.38036997800043, -67.18917997599965)"
"Moca","Puerto Rico","214","221","
Moca, Puerto Rico 
(18.394929981000473, -67.11367998199967)"
"Isabela","Puerto Rico","215","210","
Isabela, Puerto Rico 
(18.501219988000457, -67.02111999699963)"
"Patillas","Puerto Rico","65","64","
Patillas, Puerto Rico 
(18.00562001500043, -66.01636000899964)"
"Sabana Grande","Puerto Rico","106","113","
Sabana Grande, Puerto Rico 
(18.078060005000452, -66.96184998799964)"
"Hatillo","Puerto Rico","199","194","
Hatillo, Puerto Rico 
(18.483049984000445, -66.82282999899962)"
"Culebra","Puerto Rico","10","8","
Culebra, Puerto Rico 
(18.303329998000436, -65.30076999999966)"
"Quebradillas","Puerto Rico","128","123","
Quebradillas, Puerto Rico 
(18.47400998900042, -66.93762999699965)"
"Luquillo","Puerto Rico","103","117","
Luquillo, Puerto Rico 
(18.37668998200047, -65.71652000999967)"
"Santa Isabel","Puerto Rico","79","75","
Santa Isabel, Puerto Rico 
(17.969170003000443, -66.40393999299965)"
"Maricao","Puerto Rico","18","17","
Maricao, Puerto Rico 
(18.181050007000465, -66.97869998999965)"
"Coamo","Puerto Rico","129","139","
Coamo, Puerto Rico 
(18.07939000300047, -66.36145998599966)"
"Humacao","Puerto Rico","289","289","
Humacao, Puerto Rico 
(18.151470017000463, -65.82337000899963)"
"San Juan","Puerto Rico","1784","1731","
San Juan, Puerto Rico 
(18.46632997800043, -66.10474000399967)"
"Cidra","Puerto Rico","151","171","
Cidra, Puerto Rico 
(18.175390008000477, -66.16058001299962)"
"Guayanilla","Puerto Rico","75","71","
Guayanilla, Puerto Rico 
(18.02363001000043, -66.79296997599965)"
"Guayama","Puerto Rico","190","190","
Guayama, Puerto Rico 
(17.985200020000434, -66.11315001099962)"
"Camuy","Puerto Rico","173","197","
Camuy, Puerto Rico 
(18.483989994000467, -66.84468999599966)"
"Aibonito","Puerto Rico","101","109","
Aibonito, Puerto Rico 
(18.139880006000453, -66.26568001399966)"
"Adjuntas","Puerto Rico","84","95","
Adjuntas, Puerto Rico 
(18.163220012000465, -66.72308999699965)"
"Orocovis","Puerto Rico","83","96","
Orocovis, Puerto Rico 
(18.229849991000435, -66.38835998899964)"
"Toa Baja","Puerto Rico","442","417","
Toa Baja, Puerto Rico 
(18.442469988000425, -66.25353000999962)"
"Jayuya","Puerto Rico","58","57","
Jayuya, Puerto Rico 
(18.219400005000466, -66.59091998899964)"
"Florida","Puerto Rico","61","69","
Florida, Puerto Rico 
(18.36344998000044, -66.56237999199965)"
"Vega Alta","Puerto Rico","182","184","
Vega Alta, Puerto Rico 
(18.412209980000455, -66.33177998699966)"
"Caguas","Puerto Rico","566","578","
Caguas, Puerto Rico 
(18.226539990000447, -66.03746001999963)"
"Aguadilla","Puerto Rico","298","283","
Aguadilla, Puerto Rico 
(18.434599981000474, -67.15518999199963)"
"Vega Baja","Puerto Rico","284","273","
Vega Baja, Puerto Rico 
(18.446009992000427, -66.38754999999964)"
"Naranjito","Puerto Rico","101","125","
Naranjito, Puerto Rico 
(18.300909979000437, -66.24543002299964)"
"Dorado","Puerto Rico","162","169","
Dorado, Puerto Rico 
(18.459459982000453, -66.26256000899963)"
"Salinas","Puerto Rico","128","125","
Salinas, Puerto Rico 
(17.98250001700046, -66.29473999499965)"
"Villalba","Puerto Rico","83","100","
Villalba, Puerto Rico 
(18.128250011000432, -66.49427999899962)"
"Juncos","Puerto Rico","179","182","
Juncos, Puerto Rico 
(18.22783997600044, -65.92472001699963)"
"Aguas Buenas","Puerto Rico","105","93","
Aguas Buenas, Puerto Rico 
(18.25705999000047, -66.10599000899964)"
"Arecibo","Puerto Rico","471","494","
Arecibo, Puerto Rico 
(18.47238998600045, -66.71972999299965)"
"Lajas","Puerto Rico","67","77","
Lajas, Puerto Rico 
(18.052880012000458, -67.05813999799966)"
"Yabucoa","Puerto Rico","127","134","
Yabucoa, Puerto Rico 
(18.046540020000464, -65.87727002399964)"
"Vieques","Puerto Rico","29","29","
Vieques, Puerto Rico 
(18.148580017000427, -65.44210000399966)"
"Fajardo","Puerto Rico","204","199","
Fajardo, Puerto Rico 
(18.328119978000473, -65.65332000799964)"
"Arroyo","Puerto Rico","69","67","
Arroyo, Puerto Rico 
(17.96216001400046, -66.06388002299963)"
"San Lorenzo","Puerto Rico","163","154","
San Lorenzo, Puerto Rico 
(18.190280024000458, -65.96230000999964)"
"Utuado","Puerto Rico","130","132","
Utuado, Puerto Rico 
(18.266249998000433, -66.70459997699965)"
"Cayey","Puerto Rico","177","185","
Cayey, Puerto Rico 
(18.114650009000457, -66.16996001699965)"
"Ciales","Puerto Rico","75","90","
Ciales, Puerto Rico 
(18.33623998100046, -66.46973999099964)"
"Barranquitas","Puerto Rico","95","92","
Barranquitas, Puerto Rico 
(18.18655002300045, -66.30649998599966)"
"Naguabo","Puerto Rico","114","116","
Naguabo, Puerto Rico 
(18.211570007000432, -65.73506000999964)"
"Toa Alta","Puerto Rico","275","294","
Toa Alta, Puerto Rico 
(18.388359985000477, -66.24836000699963)"
"Las Piedras","Puerto Rico","185","200","
Las Piedras, Puerto Rico 
(18.18253001800042, -65.86530001999967)"
"Corozal","Puerto Rico","157","146","
Corozal, Puerto Rico 
(18.340609991000463, -66.31697998399966)"
"Yauco","Puerto Rico","153","159","
Yauco, Puerto Rico 
(18.033410023000442, -66.84844998399961)"
"Lares","Puerto Rico","155","160","
Lares, Puerto Rico 
(18.29824998400045, -66.87340999299965)"
"Maunabo","Puerto Rico","45","42","
Maunabo, Puerto Rico 
(18.007330005000426, -65.90155001499966)"
"Gurabo","Puerto Rico","183","180","
Gurabo, Puerto Rico 
(18.254759995000427, -65.97214002299967)"
"Guaynabo","Puerto Rico","432","439","
Guaynabo, Puerto Rico 
(18.359729975000448, -66.11052000299964)"
"Morovis","Puerto Rico","112","104","
Morovis, Puerto Rico 
(18.32585999200046, -66.40652999299965)"
"Cabo Rojo","Puerto Rico","204","203","
Cabo Rojo, Puerto Rico 
(18.088200019000453, -67.14688998899965)"
"Barceloneta","Puerto Rico","152","137","
Barceloneta, Puerto Rico 
(18.454409979000445, -66.53820997999964)"
"Ceiba","Puerto Rico","76","71","
Ceiba, Puerto Rico 
(18.43900999900046, -66.35268997799966)"
"Trujillo Alto","Puerto Rico","286","301","
Trujillo Alto, Puerto Rico 
(18.35556997800046, -66.00495002199966)"
"Carolina","Puerto Rico","764","773","
Carolina, Puerto Rico 
(18.442839984000443, -66.02399001499964)"
"Ponce","Puerto Rico","633","646","
Ponce, Puerto Rico 
(18.011650011000427, -66.61441997899965)"
"Añasco","Puerto Rico","117","107","
Añasco, Puerto Rico 
(18.281769, -67.139238)"
"Guánica","Puerto Rico","74","68","
Guánica, Puerto Rico 
(17.976026, -66.912214)"
"Mayagüez","Puerto Rico","356","364","
Mayagüez, Puerto Rico 
(18.201348, -67.139486)"
"San Germán","Puerto Rico","143","147","
San Germán, Puerto Rico 
(18.081517, -67.044847)"
"Bayamón","Puerto Rico","986","996","
Bayamón, Puerto Rico 
(18.398847, -66.158248)"
"Juana Díaz","Puerto Rico","212","220","
Juana Díaz, Puerto Rico 
(18.052792, -66.506475)"
"Manatí","Puerto Rico","198","190","
Manatí, Puerto Rico 
(18.42896, -66.49207)"
"Río Grande","Puerto Rico","248","247","
Río Grande, Puerto Rico 
(18.380352, -65.832077)"
"Canóvanas","Puerto Rico","269","264","
Canóvanas, Puerto Rico 
(18.379296, -65.901431)"
"Rincón","Puerto Rico","65","68","
Rincón, Puerto Rico 
(18.340106, -67.249949)"
"Las Marías","Puerto Rico","26","35","
Las Marías, Puerto Rico 
(18.251781, -66.989445)"
"Cataño","Puerto Rico","85","83","
Cataño, Puerto Rico 
(18.43672, -66.144233)"
"Peñuelas","Puerto Rico","76","78","
Peñuelas, Puerto Rico 
(18.057688, -66.722172)"
"Loíza","Puerto Rico","100","100","
Loíza, Puerto Rico 
(18.427529, -65.878266)"
"Comerío","Puerto Rico","75","71","
Comerío, Puerto Rico 
(18.218037, -66.225804)"
"San Sebastían","Puerto Rico","228","233","
San Sebastían, Puerto Rico 
(18.33625, -66.98998)"
